CompressiveStrength,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Cement,TotalCost,CO2Emissions,EmbodiedEnergy,Density,WorkabilityIndex,DurabilityRating,WaterCementRatio
46.931942,190,0,228,0,932,670,180,190,69.54,176.73,1073.02,2306.0,6.67,4,0.667
33.116913,237.5,0,228,0,932,594,90,237.5,77.80,217.29,1298.17,2319.1,5.33,2,0.533
49.185150,76,0,228,0,932,670,90,304,77.40,264.51,1563.22,2313.5,6.25,3,0.625
14.589313,209.4,0,192,0,1047,806.9,7,139.6,68.70,138.30,869.81,2375.6,6.25,3,0.625
14.638265,132.4,0,192,0,978.4,825.5,7,198.6,70.73,182.68,1114.49,2371.0,6.31,3,0.631
41.934620,0,0,228,0,932,594,365,475,94.18,400.17,2319.42,2334.9,4.80,2,0.480
9.131420,132.4,0,192,0,978.4,825.5,3,198.6,70.73,182.68,1114.49,2371.0,6.31,3,0.631
50.948830,76,0,228,0,932,670,180,304,77.40,264.51,1563.22,2313.5,6.25,3,0.625
33.019005,142.5,0,228,0,932,594,28,332.5,84.35,290.44,1706.67,2325.4,5.11,2,0.511
54.378284,76,0,228,0,932,670,270,304,77.40,264.51,1563.22,2313.5,6.25,3,0.625
51.732760,114,0,228,0,932,670,270,266,74.78,235.25,1399.82,2311.0,6.38,3,0.638
9.866402,0,0,192,0,971,850.6,3,310,77.36,267.62,1589.12,2376.3,6.19,3,0.619
50.655113,190,0,228,0,932,670,270,190,69.54,176.73,1073.02,2306.0,6.67,4,0.667
48.695620,114,0,228,0,932,670,180,266,74.78,235.25,1399.82,2311.0,6.38,3,0.638
55.064312,38,0,228,0,932,670,270,342,80.03,293.77,1726.62,2316.1,6.12,3,0.612
44.698040,209.4,0,192,0,1047,806.9,360,139.6,68.70,138.30,869.81,2375.6,6.25,3,0.625
30.275581,142.5,0,228,0,932,594,7,332.5,84.35,290.44,1706.67,2325.4,5.11,2,0.511
40.856968,190,0,228,0,932,670,28,190,69.54,176.73,1073.02,2306.0,6.67,4,0.667
71.988190,0,0,146,0,1120,800,28,485,102.98,411.34,2400.89,2490.0,3.01,2,0.301
34.397957,189.2,0,170.1,10.1,926.1,756.7,3,374,125.54,340.51,2078.76,2453.0,4.13,0,0.324
28.799412,262.2,0,175.5,8.6,1046.9,611.8,3,313.3,116.98,291.74,1794.12,2439.5,4.10,0,0.336
33.398216,106.3,0,153.5,16.5,852.1,887.1,3,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
36.300910,106.3,0,151.4,18.6,936,803.7,3,425,152.42,388.90,2421.44,2492.2,4.72,1,0.297
28.999361,93.8,0,126.6,23.4,852.1,992.6,3,375,160.89,354.49,2271.82,2529.0,4.81,1,0.281
37.797073,118.8,0,181.1,8.9,852.1,781.5,3,475,130.42,418.25,2500.82,2443.5,3.93,1,0.318
40.196450,117.2,0,137.8,32.2,852.1,840.5,3,469,197.64,441.79,2828.05,2535.5,4.45,2,0.245
33.398216,106.3,0,153.5,16.5,852.1,887.1,3,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
28.096148,97.1,0,157.9,12.1,852.1,925.7,3,388.6,129.16,351.59,2159.24,2469.0,4.63,2,0.339
41.299614,0,0,141.8,28.2,852.1,893.7,3,531.3,187.76,482.75,3024.80,2524.7,4.67,2,0.267
33.398216,106.3,0,153.5,16.5,852.1,887.1,3,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
25.200348,212.5,0,155.7,14.3,852.1,880.4,3,318.8,132.87,302.31,1901.25,2473.5,4.53,0,0.319
41.099663,94.7,0,147.4,11.4,946.8,852.1,3,401.8,128.90,361.19,2208.94,2487.9,4.23,2,0.309
35.301170,189,0,164.9,11.6,944.7,755.8,3,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
28.296095,282.8,0,183.8,10.3,942.7,659.9,3,323.7,123.93,303.30,1870.13,2430.3,4.19,0,0.334
28.599464,151.2,0,153.9,15.9,1134.3,605,3,379.5,140.78,349.60,2181.11,2482.4,4.57,1,0.308
35.301170,189,0,164.9,11.6,944.7,755.8,3,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
24.400557,200.9,0,144.7,11.2,1004.6,803.7,3,286.3,119.70,271.35,1706.28,2483.1,4.39,0,0.324
35.301170,189,0,164.9,11.6,944.7,755.8,3,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
39.300133,177,0,186,11.1,884.9,707.9,3,439,134.84,393.71,2380.95,2436.5,4.10,1,0.320
40.596348,189,0,145.9,22,944.7,755.8,3,389.9,162.21,367.89,2331.69,2506.1,4.60,0,0.270
35.301170,189,0,164.9,11.6,944.7,755.8,3,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
24.097187,189,0,174.9,9.5,944.7,755.8,3,337.9,119.13,310.26,1905.05,2438.5,4.48,1,0.358
46.201786,189.2,0,170.1,10.1,926.1,756.7,7,374,125.54,340.51,2078.76,2453.0,4.13,0,0.324
42.795776,262.2,0,175.5,8.6,1046.9,611.8,7,313.3,116.98,291.74,1794.12,2439.5,4.10,0,0.336
49.201008,106.3,0,153.5,16.5,852.1,887.1,7,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
46.801632,106.3,0,151.4,18.6,936,803.7,7,425,152.42,388.90,2421.44,2492.2,4.72,1,0.297
45.698470,93.8,0,126.6,23.4,852.1,992.6,7,375,160.89,354.49,2271.82,2529.0,4.81,1,0.281
55.599346,118.8,0,181.1,8.9,852.1,781.5,7,475,130.42,418.25,2500.82,2443.5,3.93,1,0.318
54.896080,117.2,0,137.8,32.2,852.1,840.5,7,469,197.64,441.79,2828.05,2535.5,4.45,2,0.245
49.201008,106.3,0,153.5,16.5,852.1,887.1,7,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
34.901276,97.1,0,157.9,12.1,852.1,925.7,7,388.6,129.16,351.59,2159.24,2469.0,4.63,2,0.339
46.898160,0,0,141.8,28.2,852.1,893.7,7,531.3,187.76,482.75,3024.80,2524.7,4.67,2,0.267
49.201008,106.3,0,153.5,16.5,852.1,887.1,7,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
33.398216,212.5,0,155.7,14.3,852.1,880.4,7,318.8,132.87,302.31,1901.25,2473.5,4.53,0,0.319
54.096287,94.7,0,147.4,11.4,946.8,852.1,7,401.8,128.90,361.19,2208.94,2487.9,4.23,2,0.309
55.895820,189,0,164.9,11.6,944.7,755.8,7,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
49.800850,282.8,0,183.8,10.3,942.7,659.9,7,323.7,123.93,303.30,1870.13,2430.3,4.19,0,0.334
47.098106,151.2,0,153.9,15.9,1134.3,605,7,379.5,140.78,349.60,2181.11,2482.4,4.57,1,0.308
55.895820,189,0,164.9,11.6,944.7,755.8,7,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
37.997020,200.9,0,144.7,11.2,1004.6,803.7,7,286.3,119.70,271.35,1706.28,2483.1,4.39,0,0.324
55.895820,189,0,164.9,11.6,944.7,755.8,7,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
56.095768,177,0,186,11.1,884.9,707.9,7,439,134.84,393.71,2380.95,2436.5,4.10,1,0.320
59.094990,189,0,145.9,22,944.7,755.8,7,389.9,162.21,367.89,2331.69,2506.1,4.60,0,0.270
22.897497,189,0,164.9,11.6,944.7,755.8,7,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
35.101223,189,0,174.9,9.5,944.7,755.8,7,337.9,119.13,310.26,1905.05,2438.5,4.48,1,0.358
61.094467,189.2,0,170.1,10.1,926.1,756.7,28,374,125.54,340.51,2078.76,2453.0,4.13,0,0.324
59.798252,262.2,0,175.5,8.6,1046.9,611.8,28,313.3,116.98,291.74,1794.12,2439.5,4.10,0,0.336
60.294678,106.3,0,153.5,16.5,852.1,887.1,28,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
61.797733,106.3,0,151.4,18.6,936,803.7,28,425,152.42,388.90,2421.44,2492.2,4.72,1,0.297
56.695610,93.8,0,126.6,23.4,852.1,992.6,28,375,160.89,354.49,2271.82,2529.0,4.81,1,0.281
68.299490,118.8,0,181.1,8.9,852.1,781.5,28,475,130.42,418.25,2500.82,2443.5,3.93,1,0.318
66.899860,117.2,0,137.8,32.2,852.1,840.5,28,469,197.64,441.79,2828.05,2535.5,4.45,2,0.245
60.294678,106.3,0,153.5,16.5,852.1,887.1,28,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
50.697170,97.1,0,157.9,12.1,852.1,925.7,28,388.6,129.16,351.59,2159.24,2469.0,4.63,2,0.339
56.399136,0,0,141.8,28.2,852.1,893.7,28,531.3,187.76,482.75,3024.80,2524.7,4.67,2,0.267
60.294678,106.3,0,153.5,16.5,852.1,887.1,28,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
55.495922,212.5,0,155.7,14.3,852.1,880.4,28,318.8,132.87,302.31,1901.25,2473.5,4.53,0,0.319
68.499440,94.7,0,147.4,11.4,946.8,852.1,28,401.8,128.90,361.19,2208.94,2487.9,4.23,2,0.309
71.298710,189,0,164.9,11.6,944.7,755.8,28,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
74.697830,282.8,0,183.8,10.3,942.7,659.9,28,323.7,123.93,303.30,1870.13,2430.3,4.19,0,0.334
52.200230,151.2,0,153.9,15.9,1134.3,605,28,379.5,140.78,349.60,2181.11,2482.4,4.57,1,0.308
71.298710,189,0,164.9,11.6,944.7,755.8,28,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
67.699646,200.9,0,144.7,11.2,1004.6,803.7,28,286.3,119.70,271.35,1706.28,2483.1,4.39,0,0.324
71.298710,189,0,164.9,11.6,944.7,755.8,28,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
65.996640,177,0,186,11.1,884.9,707.9,28,439,134.84,393.71,2380.95,2436.5,4.10,1,0.320
74.497880,189,0,145.9,22,944.7,755.8,28,389.9,162.21,367.89,2331.69,2506.1,4.60,0,0.270
71.298710,189,0,164.9,11.6,944.7,755.8,28,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
49.897377,189,0,174.9,9.5,944.7,755.8,28,337.9,119.13,310.26,1905.05,2438.5,4.48,1,0.358
63.397320,189.2,0,170.1,10.1,926.1,756.7,56,374,125.54,340.51,2078.76,2453.0,4.13,0,0.324
64.900375,262.2,0,175.5,8.6,1046.9,611.8,56,313.3,116.98,291.74,1794.12,2439.5,4.10,0,0.336
64.300530,106.3,0,153.5,16.5,852.1,887.1,56,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
64.900375,106.3,0,151.4,18.6,936,803.7,56,425,152.42,388.90,2421.44,2492.2,4.72,1,0.297
60.198150,93.8,0,126.6,23.4,852.1,992.6,56,375,160.89,354.49,2271.82,2529.0,4.81,1,0.281
72.298454,118.8,0,181.1,8.9,852.1,781.5,56,475,130.42,418.25,2500.82,2443.5,3.93,1,0.318
69.299230,117.2,0,137.8,32.2,852.1,840.5,56,469,197.64,441.79,2828.05,2535.5,4.45,2,0.245
64.300530,106.3,0,153.5,16.5,852.1,887.1,56,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
55.199448,97.1,0,157.9,12.1,852.1,925.7,56,388.6,129.16,351.59,2159.24,2469.0,4.63,2,0.339
58.798510,0,0,141.8,28.2,852.1,893.7,56,531.3,187.76,482.75,3024.80,2524.7,4.67,2,0.267
64.300530,106.3,0,153.5,16.5,852.1,887.1,56,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
66.100070,212.5,0,155.7,14.3,852.1,880.4,56,318.8,132.87,302.31,1901.25,2473.5,4.53,0,0.319
73.698090,94.7,0,147.4,11.4,946.8,852.1,56,401.8,128.90,361.19,2208.94,2487.9,4.23,2,0.309
77.297160,189,0,164.9,11.6,944.7,755.8,56,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
80.199850,282.8,0,183.8,10.3,942.7,659.9,56,323.7,123.93,303.30,1870.13,2430.3,4.19,0,0.334
54.896080,151.2,0,153.9,15.9,1134.3,605,56,379.5,140.78,349.60,2181.11,2482.4,4.57,1,0.308
77.297160,189,0,164.9,11.6,944.7,755.8,56,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
72.994830,200.9,0,144.7,11.2,1004.6,803.7,56,286.3,119.70,271.35,1706.28,2483.1,4.39,0,0.324
77.297160,189,0,164.9,11.6,944.7,755.8,56,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
71.698610,177,0,186,11.1,884.9,707.9,56,439,134.84,393.71,2380.95,2436.5,4.10,1,0.320
79.400055,189,0,145.9,22,944.7,755.8,56,389.9,162.21,367.89,2331.69,2506.1,4.60,0,0.270
77.297160,189,0,164.9,11.6,944.7,755.8,56,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
59.894780,189,0,174.9,9.5,944.7,755.8,56,337.9,119.13,310.26,1905.05,2438.5,4.48,1,0.358
64.900375,189.2,0,170.1,10.1,926.1,756.7,91,374,125.54,340.51,2078.76,2453.0,4.13,0,0.324
66.596490,262.2,0,175.5,8.6,1046.9,611.8,91,313.3,116.98,291.74,1794.12,2439.5,4.10,0,0.336
65.196850,106.3,0,153.5,16.5,852.1,887.1,91,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
66.699905,106.3,0,151.4,18.6,936,803.7,91,425,152.42,388.90,2421.44,2492.2,4.72,1,0.297
62.501000,93.8,0,126.6,23.4,852.1,992.6,91,375,160.89,354.49,2271.82,2529.0,4.81,1,0.281
74.194510,118.8,0,181.1,8.9,852.1,781.5,91,475,130.42,418.25,2500.82,2443.5,3.93,1,0.318
70.698870,117.2,0,137.8,32.2,852.1,840.5,91,469,197.64,441.79,2828.05,2535.5,4.45,2,0.245
65.196850,106.3,0,153.5,16.5,852.1,887.1,91,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
57.598824,97.1,0,157.9,12.1,852.1,925.7,91,388.6,129.16,351.59,2159.24,2469.0,4.63,2,0.339
59.198410,0,0,141.8,28.2,852.1,893.7,91,531.3,187.76,482.75,3024.80,2524.7,4.67,2,0.267
65.196850,106.3,0,153.5,16.5,852.1,887.1,91,425,146.66,386.79,2391.58,2486.8,4.56,1,0.301
68.099540,212.5,0,155.7,14.3,852.1,880.4,91,318.8,132.87,302.31,1901.25,2473.5,4.53,0,0.319
75.497620,94.7,0,147.4,11.4,946.8,852.1,91,401.8,128.90,361.19,2208.94,2487.9,4.23,2,0.309
79.296640,189,0,164.9,11.6,944.7,755.8,91,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
56.495663,151.2,0,153.9,15.9,1134.3,605,91,379.5,140.78,349.60,2181.11,2482.4,4.57,1,0.308
79.296640,189,0,164.9,11.6,944.7,755.8,91,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
76.800730,200.9,0,144.7,11.2,1004.6,803.7,91,286.3,119.70,271.35,1706.28,2483.1,4.39,0,0.324
79.296640,189,0,164.9,11.6,944.7,755.8,91,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
73.298195,177,0,186,11.1,884.9,707.9,91,439,134.84,393.71,2380.95,2436.5,4.10,1,0.320
82.599230,189,0,145.9,22,944.7,755.8,91,389.9,162.21,367.89,2331.69,2506.1,4.60,0,0.270
79.296640,189,0,164.9,11.6,944.7,755.8,91,362.6,128.56,333.03,2050.15,2460.9,4.26,0,0.321
67.796170,189,0,174.9,9.5,944.7,755.8,91,337.9,119.13,310.26,1905.05,2438.5,4.48,1,0.358
11.576302,0,96.67,189.29,4.46,967.08,870.32,3,222.36,82.87,203.22,1264.20,2356.8,7.45,4,0.675
24.448818,0,96.67,189.29,4.46,967.08,870.32,14,222.36,82.87,203.22,1264.20,2356.8,7.45,4,0.675
24.890083,0,96.67,189.29,4.46,967.08,870.32,28,222.36,82.87,203.22,1264.20,2356.8,7.45,4,0.675
29.447520,0,96.67,189.29,4.46,967.08,870.32,56,222.36,82.87,203.22,1264.20,2356.8,7.45,4,0.675
40.713560,0,96.67,189.29,4.46,967.08,870.32,100,222.36,82.87,203.22,1264.20,2356.8,7.45,4,0.675
10.383509,0,94.58,197.89,4.567,947.04,852.16,3,233.81,83.95,212.41,1314.86,2344.0,7.51,4,0.681
22.139074,0,94.58,197.89,4.567,947.04,852.16,14,233.81,83.95,212.41,1314.86,2344.0,7.51,4,0.681
22.835445,0,94.58,197.89,4.567,947.04,852.16,28,233.81,83.95,212.41,1314.86,2344.0,7.51,4,0.681
27.661777,0,94.58,197.89,4.567,947.04,852.16,56,233.81,83.95,212.41,1314.86,2344.0,7.51,4,0.681
34.556538,0,94.58,197.89,4.567,947.04,852.16,100,233.81,83.95,212.41,1314.86,2344.0,7.51,4,0.681
12.451937,0,100.52,165.62,7.48,1006.4,905.9,3,194.68,89.30,184.76,1189.21,2393.2,7.76,3,0.650
24.986610,0,100.52,165.62,7.48,1006.4,905.9,14,194.68,89.30,184.76,1189.21,2393.2,7.76,3,0.650
25.724350,0,100.52,165.62,7.48,1006.4,905.9,28,194.68,89.30,184.76,1189.21,2393.2,7.76,3,0.650
33.963590,0,100.52,165.62,7.48,1006.4,905.9,56,194.68,89.30,184.76,1189.21,2393.2,7.76,3,0.650
37.342022,0,100.52,165.62,7.48,1006.4,905.9,100,194.68,89.30,184.76,1189.21,2393.2,7.76,3,0.650
15.044366,0,125.4,162.14,7.77,1090,804.01,3,190.68,90.05,181.73,1174.14,2393.4,7.33,3,0.610
21.063492,0,125.4,162.14,7.77,1090,804.01,14,190.68,90.05,181.73,1174.14,2393.4,7.33,3,0.610
26.400036,0,125.4,162.14,7.77,1090,804.01,28,190.68,90.05,181.73,1174.14,2393.4,7.33,3,0.610
35.342540,0,125.4,162.14,7.77,1090,804.01,56,190.68,90.05,181.73,1174.14,2393.4,7.33,3,0.610
40.568768,0,125.4,162.14,7.77,1090,804.01,100,190.68,90.05,181.73,1174.14,2393.4,7.33,3,0.610
12.472621,0,121.62,180.31,5.69,1057.6,779.32,3,212.07,85.80,196.29,1235.93,2365.9,7.18,3,0.633
20.918701,0,121.62,180.31,5.69,1057.6,779.32,14,212.07,85.80,196.29,1235.93,2365.9,7.18,3,0.633
24.903873,0,121.62,180.31,5.69,1057.6,779.32,28,212.07,85.80,196.29,1235.93,2365.9,7.18,3,0.633
34.204903,0,121.62,180.31,5.69,1057.6,779.32,56,212.07,85.80,196.29,1235.93,2365.9,7.18,3,0.633
39.610397,0,121.62,180.31,5.69,1057.6,779.32,100,212.07,85.80,196.29,1235.93,2365.9,7.18,3,0.633
10.031876,0,118.31,195.47,4.63,1029.4,758.59,3,229.97,84.17,209.29,1297.74,2343.5,7.16,3,0.649
20.084436,0,118.31,195.47,4.63,1029.4,758.59,14,229.97,84.17,209.29,1297.74,2343.5,7.16,3,0.649
24.483294,0,118.31,195.47,4.63,1029.4,758.59,28,229.97,84.17,209.29,1297.74,2343.5,7.16,3,0.649
31.536633,0,118.31,195.47,4.63,1029.4,758.59,56,229.97,84.17,209.29,1297.74,2343.5,7.16,3,0.649
35.342540,0,118.31,195.47,4.63,1029.4,758.59,100,229.97,84.17,209.29,1297.74,2343.5,7.16,3,0.649
9.445821,0,125.18,161.85,9.88,1088.1,802.59,3,190.34,96.00,183.95,1203.91,2395.6,7.66,3,0.610
22.718235,0,125.18,161.85,9.88,1088.1,802.59,14,190.34,96.00,183.95,1203.91,2395.6,7.66,3,0.610
28.468464,0,125.18,161.85,9.88,1088.1,802.59,28,190.34,96.00,183.95,1203.91,2395.6,7.66,3,0.610
38.562393,0,125.18,161.85,9.88,1088.1,802.59,56,190.34,96.00,183.95,1203.91,2395.6,7.66,3,0.610
40.389503,0,125.18,161.85,9.88,1088.1,802.59,100,190.34,96.00,183.95,1203.91,2395.6,7.66,3,0.610
10.762720,0,163.27,176.46,4.49,1058.6,780.09,3,166.09,77.95,157.99,1010.74,2355.5,7.36,4,0.668
25.483032,0,163.27,176.46,4.49,1058.6,780.09,14,166.09,77.95,157.99,1010.74,2355.5,7.36,4,0.668
21.539230,0,163.27,176.46,4.49,1058.6,780.09,28,166.09,77.95,157.99,1010.74,2355.5,7.36,4,0.668
28.627043,0,163.27,176.46,4.49,1058.6,780.09,56,166.09,77.95,157.99,1010.74,2355.5,7.36,4,0.668
33.543007,0,163.27,176.46,4.49,1058.6,780.09,100,166.09,77.95,157.99,1010.74,2355.5,7.36,4,0.668
7.749710,42.08,163.83,121.75,5.72,1058.7,780.11,3,167.95,84.61,163.09,1050.33,2442.9,4.82,1,0.406
17.822954,42.08,163.83,121.75,5.72,1058.7,780.11,14,167.95,84.61,163.09,1050.33,2442.9,4.82,1,0.406
24.241976,42.08,163.83,121.75,5.72,1058.7,780.11,28,167.95,84.61,163.09,1050.33,2442.9,4.82,1,0.406
32.853530,42.08,163.83,121.75,5.72,1058.7,780.11,56,167.95,84.61,163.09,1050.33,2442.9,4.82,1,0.406
39.231186,42.08,163.83,121.75,5.72,1058.7,780.11,100,167.95,84.61,163.09,1050.33,2442.9,4.82,1,0.406
17.995323,98.05,24.51,181.71,6.86,1065.8,785.38,3,213.72,91.96,202.11,1282.04,2392.6,6.94,3,0.592
30.385208,98.05,24.51,181.71,6.86,1065.8,785.38,14,213.72,91.96,202.11,1282.04,2392.6,6.94,3,0.592
45.705364,98.05,24.51,181.71,6.86,1065.8,785.38,28,213.72,91.96,202.11,1282.04,2392.6,6.94,3,0.592
50.773014,98.05,24.51,181.71,6.86,1065.8,785.38,56,213.72,91.96,202.11,1282.04,2392.6,6.94,3,0.592
53.903233,98.05,24.51,181.71,6.86,1065.8,785.38,100,213.72,91.96,202.11,1282.04,2392.6,6.94,3,0.592
13.182781,98.06,24.52,181.74,6.65,1066,785.52,3,213.76,91.37,201.90,1279.11,2392.4,6.91,3,0.592
17.836744,98.06,24.52,181.74,6.65,1066,785.52,14,213.76,91.37,201.90,1279.11,2392.4,6.91,3,0.592
40.230923,98.06,24.52,181.74,6.65,1066,785.52,28,213.76,91.37,201.90,1279.11,2392.4,6.91,3,0.592
47.132580,98.06,24.52,181.74,6.65,1066,785.52,56,213.76,91.37,201.90,1279.11,2392.4,6.91,3,0.592
