income, sex, age, michigan, nebraska, oklahoma, conservative, moderate, liberal
0.552,-1,0.44,1,0,0,1,0,0
0.263,1,0.23,0,1,0,0,0,1
0.53,-1,0.36,0,1,0,0,0,1
0.725,1,0.64,0,0,1,1,0,0
0.3,1,0.29,0,0,1,0,0,1
0.493,-1,0.33,1,0,0,0,1,0
0.75,-1,0.66,0,1,0,0,0,1
0.343,-1,0.21,0,0,1,1,0,0
0.327,1,0.27,1,0,0,0,0,1
0.318,1,0.29,1,0,0,0,0,1
0.486,-1,0.31,1,0,0,0,1,0
0.41,1,0.36,0,0,1,0,1,0
0.557,1,0.49,0,1,0,0,1,0
0.384,-1,0.28,1,0,0,1,0,0
0.566,-1,0.43,0,0,1,0,1,0
0.588,-1,0.46,0,1,0,0,1,0
0.698,1,0.57,1,0,0,1,0,0
0.594,-1,0.52,0,0,1,0,1,0
0.435,-1,0.31,0,0,1,0,1,0
0.62,-1,0.55,1,0,0,0,0,1
0.564,1,0.5,1,0,0,0,1,0
0.559,1,0.48,0,1,0,0,1,0
0.345,-1,0.22,0,0,1,1,0,0
0.667,1,0.59,0,0,1,1,0,0
0.428,1,0.34,1,0,0,0,0,1
0.772,-1,0.64,1,0,0,0,0,1
0.335,1,0.29,0,0,1,0,0,1
0.432,-1,0.34,0,1,0,0,1,0
0.75,-1,0.61,1,0,0,0,0,1
0.711,1,0.64,0,0,1,1,0,0
0.413,-1,0.29,1,0,0,1,0,0
0.706,1,0.63,0,1,0,1,0,0
0.4,-1,0.29,0,1,0,1,0,0
0.627,-1,0.51,1,0,0,0,1,0
0.377,-1,0.24,0,0,1,1,0,0
0.575,1,0.48,0,1,0,0,1,0
0.274,1,0.18,1,0,0,1,0,0
0.203,1,0.18,1,0,0,0,0,1
0.382,1,0.33,0,1,0,0,0,1
0.348,-1,0.2,0,0,1,1,0,0
0.33,1,0.29,0,0,1,0,0,1
0.63,-1,0.44,0,0,1,1,0,0
0.818,-1,0.65,0,0,1,1,0,0
0.637,-1,0.56,1,0,0,0,0,1
0.584,-1,0.52,0,0,1,0,1,0
0.486,-1,0.29,0,1,0,1,0,0
0.589,-1,0.47,0,1,0,0,1,0
0.726,1,0.68,1,0,0,0,0,1
0.36,1,0.31,0,0,1,0,1,0
0.625,1,0.61,0,1,0,0,0,1
0.215,1,0.19,0,1,0,0,0,1
0.43,1,0.38,0,0,1,0,1,0
0.423,-1,0.26,1,0,0,1,0,0
0.674,1,0.61,0,1,0,1,0,0
0.465,1,0.4,1,0,0,0,1,0
0.652,-1,0.49,1,0,0,0,1,0
0.675,1,0.56,1,0,0,1,0,0
0.66,-1,0.48,0,1,0,0,1,0
0.563,1,0.52,1,0,0,0,0,1
0.298,-1,0.18,1,0,0,1,0,0
0.593,-1,0.56,0,0,1,0,0,1
0.644,-1,0.52,0,1,0,0,1,0
0.286,-1,0.18,0,1,0,0,1,0
0.662,-1,0.58,1,0,0,0,0,1
0.551,-1,0.39,0,1,0,0,1,0
0.629,-1,0.46,1,0,0,0,1,0
0.462,-1,0.4,0,1,0,0,1,0
0.727,-1,0.6,1,0,0,0,0,1
0.407,1,0.36,0,1,0,0,0,1
0.523,1,0.44,1,0,0,0,1,0
0.313,1,0.28,1,0,0,0,0,1
0.626,1,0.54,0,0,1,1,0,0
