Concrete Compressive Strength,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Cement
40.19645,117.2,0,137.8,32.2,852.1,840.5,3,469
33.398216,106.3,0,153.5,16.5,852.1,887.1,3,425
28.096148,97.1,0,157.9,12.1,852.1,925.7,3,388.6
41.299614,0,0,141.8,28.2,852.1,893.7,3,531.3
33.398216,106.3,0,153.5,16.5,852.1,887.1,3,425
25.200348,212.5,0,155.7,14.3,852.1,880.4,3,318.8
41.099663,94.7,0,147.4,11.4,946.8,852.1,3,401.8
35.30117,189,0,164.9,11.6,944.7,755.8,3,362.6
28.296095,282.8,0,183.8,10.3,942.7,659.9,3,323.7
28.599464,151.2,0,153.9,15.9,1134.3,605,3,379.5
35.30117,189,0,164.9,11.6,944.7,755.8,3,362.6
24.400557,200.9,0,144.7,11.2,1004.6,803.7,3,286.3
35.30117,189,0,164.9,11.6,944.7,755.8,3,362.6
39.300133,177,0,186,11.1,884.9,707.9,3,439
40.596348,189,0,145.9,22,944.7,755.8,3,389.9
35.30117,189,0,164.9,11.6,944.7,755.8,3,362.6
24.097187,189,0,174.9,9.5,944.7,755.8,3,337.9
46.201786,189.2,0,170.1,10.1,926.1,756.7,7,374
42.795776,262.2,0,175.5,8.6,1046.9,611.8,7,313.3
49.201008,106.3,0,153.5,16.5,852.1,887.1,7,425
46.801632,106.3,0,151.4,18.6,936,803.7,7,425
45.69847,93.8,0,126.6,23.4,852.1,992.6,7,375
55.599346,118.8,0,181.1,8.9,852.1,781.5,7,475
54.89608,117.2,0,137.8,32.2,852.1,840.5,7,469
49.201008,106.3,0,153.5,16.5,852.1,887.1,7,425
34.901276,97.1,0,157.9,12.1,852.1,925.7,7,388.6
46.89816,0,0,141.8,28.2,852.1,893.7,7,531.3
49.201008,106.3,0,153.5,16.5,852.1,887.1,7,425
33.398216,212.5,0,155.7,14.3,852.1,880.4,7,318.8
54.096287,94.7,0,147.4,11.4,946.8,852.1,7,401.8
55.89582,189,0,164.9,11.6,944.7,755.8,7,362.6
49.80085,282.8,0,183.8,10.3,942.7,659.9,7,323.7
47.098106,151.2,0,153.9,15.9,1134.3,605,7,379.5
55.89582,189,0,164.9,11.6,944.7,755.8,7,362.6
37.99702,200.9,0,144.7,11.2,1004.6,803.7,7,286.3
55.89582,189,0,164.9,11.6,944.7,755.8,7,362.6
56.095768,177,0,186,11.1,884.9,707.9,7,439
59.09499,189,0,145.9,22,944.7,755.8,7,389.9
22.897497,189,0,164.9,11.6,944.7,755.8,7,362.6
35.101223,189,0,174.9,9.5,944.7,755.8,7,337.9
61.094467,189.2,0,170.1,10.1,926.1,756.7,28,374
59.798252,262.2,0,175.5,8.6,1046.9,611.8,28,313.3
60.294678,106.3,0,153.5,16.5,852.1,887.1,28,425
61.797733,106.3,0,151.4,18.6,936,803.7,28,425
56.69561,93.8,0,126.6,23.4,852.1,992.6,28,375
68.29949,118.8,0,181.1,8.9,852.1,781.5,28,475
66.89986,117.2,0,137.8,32.2,852.1,840.5,28,469
60.294678,106.3,0,153.5,16.5,852.1,887.1,28,425
50.69717,97.1,0,157.9,12.1,852.1,925.7,28,388.6
56.399136,0,0,141.8,28.2,852.1,893.7,28,531.3
60.294678,106.3,0,153.5,16.5,852.1,887.1,28,425
55.495922,212.5,0,155.7,14.3,852.1,880.4,28,318.8
68.49944,94.7,0,147.4,11.4,946.8,852.1,28,401.8
71.29871,189,0,164.9,11.6,944.7,755.8,28,362.6
74.69783,282.8,0,183.8,10.3,942.7,659.9,28,323.7
52.20023,151.2,0,153.9,15.9,1134.3,605,28,379.5
71.29871,189,0,164.9,11.6,944.7,755.8,28,362.6
67.699646,200.9,0,144.7,11.2,1004.6,803.7,28,286.3
71.29871,189,0,164.9,11.6,944.7,755.8,28,362.6
65.99664,177,0,186,11.1,884.9,707.9,28,439
74.49788,189,0,145.9,22,944.7,755.8,28,389.9
71.29871,189,0,164.9,11.6,944.7,755.8,28,362.6
49.897377,189,0,174.9,9.5,944.7,755.8,28,337.9
63.39732,189.2,0,170.1,10.1,926.1,756.7,56,374
64.900375,262.2,0,175.5,8.6,1046.9,611.8,56,313.3
64.30053,106.3,0,153.5,16.5,852.1,887.1,56,425
64.900375,106.3,0,151.4,18.6,936,803.7,56,425
60.19815,93.8,0,126.6,23.4,852.1,992.6,56,375
72.298454,118.8,0,181.1,8.9,852.1,781.5,56,475
69.29923,117.2,0,137.8,32.2,852.1,840.5,56,469
64.30053,106.3,0,153.5,16.5,852.1,887.1,56,425
55.199448,97.1,0,157.9,12.1,852.1,925.7,56,388.6
58.79851,0,0,141.8,28.2,852.1,893.7,56,531.3
64.30053,106.3,0,153.5,16.5,852.1,887.1,56,425
66.10007,212.5,0,155.7,14.3,852.1,880.4,56,318.8
73.69809,94.7,0,147.4,11.4,946.8,852.1,56,401.8
77.29716,189,0,164.9,11.6,944.7,755.8,56,362.6
80.19985,282.8,0,183.8,10.3,942.7,659.9,56,323.7
54.89608,151.2,0,153.9,15.9,1134.3,605,56,379.5
77.29716,189,0,164.9,11.6,944.7,755.8,56,362.6
72.99483,200.9,0,144.7,11.2,1004.6,803.7,56,286.3
77.29716,189,0,164.9,11.6,944.7,755.8,56,362.6
71.69861,177,0,186,11.1,884.9,707.9,56,439
79.400055,189,0,145.9,22,944.7,755.8,56,389.9
77.29716,189,0,164.9,11.6,944.7,755.8,56,362.6
59.89478,189,0,174.9,9.5,944.7,755.8,56,337.9
64.900375,189.2,0,170.1,10.1,926.1,756.7,91,374
66.59649,262.2,0,175.5,8.6,1046.9,611.8,91,313.3
65.19685,106.3,0,153.5,16.5,852.1,887.1,91,425
66.699905,106.3,0,151.4,18.6,936,803.7,91,425
62.501,93.8,0,126.6,23.4,852.1,992.6,91,375
74.19451,118.8,0,181.1,8.9,852.1,781.5,91,475
70.69887,117.2,0,137.8,32.2,852.1,840.5,91,469
65.19685,106.3,0,153.5,16.5,852.1,887.1,91,425
57.598824,97.1,0,157.9,12.1,852.1,925.7,91,388.6
59.19841,0,0,141.8,28.2,852.1,893.7,91,531.3
65.19685,106.3,0,153.5,16.5,852.1,887.1,91,425
68.09954,212.5,0,155.7,14.3,852.1,880.4,91,318.8
75.49762,94.7,0,147.4,11.4,946.8,852.1,91,401.8
79.29664,189,0,164.9,11.6,944.7,755.8,91,362.6
56.495663,151.2,0,153.9,15.9,1134.3,605,91,379.5
79.29664,189,0,164.9,11.6,944.7,755.8,91,362.6
76.80073,200.9,0,144.7,11.2,1004.6,803.7,91,286.3
79.29664,189,0,164.9,11.6,944.7,755.8,91,362.6
73.298195,177,0,186,11.1,884.9,707.9,91,439
82.59923,189,0,145.9,22,944.7,755.8,91,389.9
79.29664,189,0,164.9,11.6,944.7,755.8,91,362.6
67.79617,189,0,174.9,9.5,944.7,755.8,91,337.9
11.576302,0,96.67,189.29,4.46,967.08,870.32,3,222.36
24.448818,0,96.67,189.29,4.46,967.08,870.32,14,222.36
24.890083,0,96.67,189.29,4.46,967.08,870.32,28,222.36
29.44752,0,96.67,189.29,4.46,967.08,870.32,56,222.36
40.71356,0,96.67,189.29,4.46,967.08,870.32,100,222.36
10.383509,0,94.58,197.89,4.567,947.04,852.16,3,233.81
22.139074,0,94.58,197.89,4.567,947.04,852.16,14,233.81
22.835445,0,94.58,197.89,4.567,947.04,852.16,28,233.81
27.661777,0,94.58,197.89,4.567,947.04,852.16,56,233.81
34.556538,0,94.58,197.89,4.567,947.04,852.16,100,233.81
12.451937,0,100.52,165.62,7.48,1006.4,905.9,3,194.68
24.98661,0,100.52,165.62,7.48,1006.4,905.9,14,194.68
25.72435,0,100.52,165.62,7.48,1006.4,905.9,28,194.68
33.96359,0,100.52,165.62,7.48,1006.4,905.9,56,194.68
37.342022,0,100.52,165.62,7.48,1006.4,905.9,100,194.68
15.044366,0,125.4,162.14,7.77,1090,804.01,3,190.68
21.063492,0,125.4,162.14,7.77,1090,804.01,14,190.68
26.400036,0,125.4,162.14,7.77,1090,804.01,28,190.68
35.34254,0,125.4,162.14,7.77,1090,804.01,56,190.68
40.568768,0,125.4,162.14,7.77,1090,804.01,100,190.68
12.472621,0,121.62,180.31,5.69,1057.6,779.32,3,212.07
20.918701,0,121.62,180.31,5.69,1057.6,779.32,14,212.07
24.903873,0,121.62,180.31,5.69,1057.6,779.32,28,212.07
34.204903,0,121.62,180.31,5.69,1057.6,779.32,56,212.07
39.610397,0,121.62,180.31,5.69,1057.6,779.32,100,212.07
10.031876,0,118.31,195.47,4.63,1029.4,758.59,3,229.97
20.084436,0,118.31,195.47,4.63,1029.4,758.59,14,229.97
24.483294,0,118.31,195.47,4.63,1029.4,758.59,28,229.97
31.536633,0,118.31,195.47,4.63,1029.4,758.59,56,229.97
35.34254,0,118.31,195.47,4.63,1029.4,758.59,100,229.97
9.445821,0,125.18,161.85,9.88,1088.1,802.59,3,190.34
22.718235,0,125.18,161.85,9.88,1088.1,802.59,14,190.34
28.468464,0,125.18,161.85,9.88,1088.1,802.59,28,190.34
38.562393,0,125.18,161.85,9.88,1088.1,802.59,56,190.34
40.389503,0,125.18,161.85,9.88,1088.1,802.59,100,190.34
10.76272,0,163.27,176.46,4.49,1058.6,780.09,3,166.09
25.483032,0,163.27,176.46,4.49,1058.6,780.09,14,166.09
21.53923,0,163.27,176.46,4.49,1058.6,780.09,28,166.09
28.627043,0,163.27,176.46,4.49,1058.6,780.09,56,166.09
33.543007,0,163.27,176.46,4.49,1058.6,780.09,100,166.09
7.74971,42.08,163.83,121.75,5.72,1058.7,780.11,3,167.95
17.822954,42.08,163.83,121.75,5.72,1058.7,780.11,14,167.95
24.241976,42.08,163.83,121.75,5.72,1058.7,780.11,28,167.95
32.85353,42.08,163.83,121.75,5.72,1058.7,780.11,56,167.95
39.231186,42.08,163.83,121.75,5.72,1058.7,780.11,100,167.95
17.995323,98.05,24.51,181.71,6.86,1065.8,785.38,3,213.72
30.385208,98.05,24.51,181.71,6.86,1065.8,785.38,14,213.72
45.705364,98.05,24.51,181.71,6.86,1065.8,785.38,28,213.72
50.773014,98.05,24.51,181.71,6.86,1065.8,785.38,56,213.72
53.903233,98.05,24.51,181.71,6.86,1065.8,785.38,100,213.72
13.182781,98.06,24.52,181.74,6.65,1066,785.52,3,213.76
17.836744,98.06,24.52,181.74,6.65,1066,785.52,14,213.76
40.230923,98.06,24.52,181.74,6.65,1066,785.52,28,213.76
47.13258,98.06,24.52,181.74,6.65,1066,785.52,56,213.76
49.97322,98.06,24.52,181.74,6.65,1066,785.52,100,213.76
13.35515,0,118.16,195.23,6.13,1028.1,757.63,3,229.68
22.318338,0,118.16,195.23,6.13,1028.1,757.63,14,229.68
24.53845,0,118.16,195.23,6.13,1028.1,757.63,28,229.68
31.350473,0,118.16,195.23,6.13,1028.1,757.63,56,229.68
40.85835,0,118.16,195.23,6.13,1028.1,757.63,100,229.68
19.93275,0,94.11,186.66,7,949.91,847.01,3,238.05
25.689877,0,94.11,186.66,7,949.91,847.01,14,238.05
30.233522,0,94.11,186.66,7,949.91,847.01,28,238.05
39.58971,0,94.11,186.66,7,949.91,847.01,56,238.05
44.298832,0,94.11,186.66,7,949.91,847.01,100,238.05
13.817099,0,95.69,187.42,5.53,956.86,861.17,3,250
24.917664,0,95.69,187.42,5.53,956.86,861.17,14,250
29.219994,0,95.69,187.42,5.53,956.86,861.17,28,250
38.327972,0,95.69,187.42,5.53,956.86,861.17,56,250
42.347614,0,95.69,187.42,5.53,956.86,861.17,100,250
13.541308,0,100.37,159.32,8.71,1007.8,903.59,3,212.52
26.310404,0,100.37,159.32,8.71,1007.8,903.59,14,212.52
31.640053,0,100.37,159.32,8.71,1007.8,903.59,28,212.52
42.547565,0,100.37,159.32,8.71,1007.8,903.59,56,212.52
42.91988,0,100.37,159.32,8.71,1007.8,903.59,100,212.52
13.334466,0,100.39,159.35,10.37,1003.8,903.79,3,212.57
25.372717,0,100.39,159.35,10.37,1003.8,903.79,14,212.57
37.40407,0,100.39,159.35,10.37,1003.8,903.79,28,212.57
44.39536,0,100.39,159.35,10.37,1003.8,903.79,56,212.57
47.73932,0,100.39,159.35,10.37,1003.8,903.79,100,212.57
19.519066,0,124.78,159,7.84,1085.4,799.54,3,212
31.350473,0,124.78,159,7.84,1085.4,799.54,14,212
38.50034,0,124.78,159,7.84,1085.4,799.54,28,212
45.084835,0,124.78,159,7.84,1085.4,799.54,56,212
47.81516,0,124.78,159,7.84,1085.4,799.54,100,212
15.437367,0,121.62,173.96,6.72,1056.4,778.45,3,231.75
26.772352,0,121.62,173.96,6.72,1056.4,778.45,14,231.75
33.729164,0,121.62,173.96,6.72,1056.4,778.45,28,231.75
42.69925,0,121.62,173.96,6.72,1056.4,778.45,56,231.75
45.836365,0,121.62,173.96,6.72,1056.4,778.45,100,231.75
17.22311,0,118.27,188.45,5.75,1028.4,757.73,3,251.37
29.930153,0,118.27,188.45,5.75,1028.4,757.73,14,251.37
29.654364,0,118.27,188.45,5.75,1028.4,757.73,28,251.37
36.969704,0,118.27,188.45,5.75,1028.4,757.73,56,251.37
43.58178,0,118.27,188.45,5.75,1028.4,757.73,100,251.37
13.1207285,0,118.27,188.45,6.35,1028.4,757.73,3,251.37
24.428135,0,118.27,188.45,6.35,1028.4,757.73,14,251.37
32.660477,0,118.27,188.45,6.35,1028.4,757.73,28,251.37
36.638756,0,118.27,188.45,6.35,1028.4,757.73,56,251.37
44.2092,0,118.27,188.45,6.35,1028.4,757.73,100,251.37
13.624045,0,167.01,169.59,7.56,1055.6,777.8,3,181.38
21.601284,0,167.01,169.59,7.56,1055.6,777.8,14,181.38
27.772093,0,167.01,169.59,7.56,1055.6,777.8,28,181.38
35.57007,0,167.01,169.59,7.56,1055.6,777.8,56,181.38
45.36752,0,167.01,169.59,7.56,1055.6,777.8,100,181.38
7.3153405,45.21,121.97,170.21,8.19,1059.4,780.65,3,182.04
21.504757,45.21,121.97,170.21,8.19,1059.4,780.65,14,182.04
31.267736,45.21,121.97,170.21,8.19,1059.4,780.65,28,182.04
43.499043,45.21,121.97,170.21,8.19,1059.4,780.65,56,182.04
48.670113,45.21,121.97,170.21,8.19,1059.4,780.65,100,182.04
7.3980775,42.22,124.25,158.33,10.83,1080.8,796.15,3,168.88
23.511131,42.22,124.25,158.33,10.83,1080.8,796.15,14,168.88
31.116053,42.22,124.25,158.33,10.83,1080.8,796.15,28,168.88
39.14845,42.22,124.25,158.33,10.83,1080.8,796.15,56,168.88
48.153004,42.22,124.25,158.33,10.83,1080.8,796.15,100,168.88
22.504498,0,96.18,168.08,9.41,961.18,865,3,290.35
34.673748,0,96.18,168.08,9.41,961.18,865,14,290.35
34.7358,0,96.18,168.08,9.41,961.18,865,28,290.35
45.084835,0,96.18,168.08,9.41,961.18,865,56,290.35
48.97348,0,96.18,168.08,9.41,961.18,865,100,290.35
23.138815,0,97.39,160.6,11.83,973.9,875.61,3,277.05
41.885666,0,97.39,160.6,11.83,973.9,875.61,14,277.05
48.284004,0,97.39,160.6,11.83,973.9,875.61,28,277.05
51.035015,0,97.39,160.6,11.83,973.9,875.61,56,277.05
55.640713,0,97.39,160.6,11.83,973.9,875.61,100,277.05
22.94576,0,95.64,171.54,8.87,955.14,859.2,3,295.71
35.232224,0,95.64,171.54,8.87,955.14,859.2,14,295.71
39.941345,0,95.64,171.54,8.87,955.14,859.2,28,295.71
48.718372,0,95.64,171.54,8.87,955.14,859.2,56,295.71
52.04165,0,95.64,171.54,8.87,955.14,859.2,100,295.71
21.022123,0,99.94,146.14,12.35,1006,899.76,3,251.81
33.35685,0,99.94,146.14,12.35,1006,899.76,14,251.81
33.9429,0,99.94,146.14,12.35,1006,899.76,28,251.81
44.140255,0,99.94,146.14,12.35,1006,899.76,56,251.81
45.36752,0,99.94,146.14,12.35,1006,899.76,100,251.81
15.361526,0,98.75,158.11,12.8,987.76,889.01,3,249.1
28.682201,0,98.75,158.11,12.8,987.76,889.01,14,249.1
30.847157,0,98.75,158.11,12.8,987.76,889.01,28,249.1
42.030457,0,98.75,158.11,12.8,987.76,889.01,56,249.1
51.0557,0,98.75,158.11,12.8,987.76,889.01,100,249.1
21.780546,0,98.75,146.25,14.17,987.76,889.01,3,252.31
42.292458,0,98.75,146.25,14.17,987.76,889.01,14,252.31
50.600643,0,98.75,146.25,14.17,987.76,889.01,28,252.31
55.82687,0,98.75,146.25,14.17,987.76,889.01,56,252.31
60.949677,0,98.75,146.25,14.17,987.76,889.01,100,252.31
23.524921,0,125.08,143.3,11.99,1086.8,800.89,3,246.83
42.216614,0,125.08,143.3,11.99,1086.8,800.89,14,246.83
52.503597,0,125.08,143.3,11.99,1086.8,800.89,28,246.83
60.322254,0,125.08,143.3,11.99,1086.8,800.89,56,246.83
66.42412,0,125.08,143.3,11.99,1086.8,800.89,100,246.83
23.80071,0,121.35,159.48,9.9,1053.6,777.5,3,275.07
38.769234,0,121.35,159.48,9.9,1053.6,777.5,14,275.07
51.33149,0,121.35,159.48,9.9,1053.6,777.5,28,275.07
56.847298,0,121.35,159.48,9.9,1053.6,777.5,56,275.07
58.60546,0,121.35,159.48,9.9,1053.6,777.5,100,275.07
21.911547,0,117.54,174.8,9.52,1022.8,753.45,3,297.16
36.990387,0,117.54,174.8,9.52,1022.8,753.45,14,297.16
47.401474,0,117.54,174.8,9.52,1022.8,753.45,28,297.16
51.95891,0,117.54,174.8,9.52,1022.8,753.45,56,297.16
56.743874,0,117.54,174.8,9.52,1022.8,753.45,100,297.16
17.574743,0,174.74,154.79,10.16,1053.5,776.35,3,213.74
33.729164,0,174.74,154.79,10.16,1053.5,776.35,14,213.74
40.148186,0,174.74,154.79,10.16,1053.5,776.35,28,213.74
46.64305,0,174.74,154.79,10.16,1053.5,776.35,56,213.74
50.07664,0,174.74,154.79,10.16,1053.5,776.35,100,213.74
17.3679,0,174.24,154.61,11.66,1052.3,775.48,3,213.5
33.701588,0,174.24,154.61,11.66,1052.3,775.48,14,213.5
45.939785,0,174.24,154.61,11.66,1052.3,775.48,28,213.5
51.43491,0,174.24,154.61,11.66,1052.3,775.48,56,213.5
59.30183,0,174.24,154.61,11.66,1052.3,775.48,100,213.5
30.44726,97.82,24.46,160.7,11.19,1061.7,782.46,3,277.19
47.71174,97.82,24.46,160.7,11.19,1061.7,782.46,14,277.19
63.142212,97.82,24.46,160.7,11.19,1061.7,782.46,28,277.19
66.82401,97.82,24.46,160.7,11.19,1061.7,782.46,56,277.19
66.94812,97.82,24.46,160.7,11.19,1061.7,782.46,100,277.19
27.42046,54.64,123.78,140.75,11.91,1075.7,792.67,3,218.23
35.956173,54.64,123.78,140.75,11.91,1075.7,792.67,14,218.23
55.509712,54.64,123.78,140.75,11.91,1075.7,792.67,28,218.23
61.990788,54.64,123.78,140.75,11.91,1075.7,792.67,56,218.23
63.52832,54.64,123.78,140.75,11.91,1075.7,792.67,100,218.23
18.016008,53.8,121.89,155.63,9.61,1014.3,780.58,3,214.9
38.60376,53.8,121.89,155.63,9.61,1014.3,780.58,14,214.9
52.20023,53.8,121.89,155.63,9.61,1014.3,780.58,28,214.9
53.958393,53.8,121.89,155.63,9.61,1014.3,780.58,56,214.9
56.63356,53.8,121.89,155.63,9.61,1014.3,780.58,100,214.9
15.340841,0,124.13,158.49,11.33,1078.7,794.91,3,218.85
26.048403,0,124.13,158.49,11.33,1078.7,794.91,14,218.85
30.219732,0,124.13,158.49,11.33,1078.7,794.91,28,218.85
37.26618,0,124.13,158.49,11.33,1078.7,794.91,56,218.85
46.229366,0,124.13,158.49,11.33,1078.7,794.91,100,218.85
16.278528,0,0,214.6,0,1003.5,762.36,3,376
25.620928,0,0,214.6,0,1003.5,762.36,14,376
31.971003,0,0,214.6,0,1003.5,762.36,28,376
36.30091,0,0,214.6,0,1003.5,762.36,56,376
43.057777,0,0,214.6,0,1003.5,762.36,100,376
67.56865,0,0,140,4,966,853,28,500
57.22651,0,59,142,1.9,1098,641,28,475
81.75117,137,0,145,5.9,1130,745,28,315
64.017845,0,60,195,0,1030,630,28,505
78.80021,0,0,165,11.25,1030,745,28,451
41.36856,0,0,162,8.2,801,802,28,516
60.280888,0,0,170,5.2,855,855,28,520
56.833508,0,0,185,6.86,920,720,28,528
51.021225,0,0,175,5.2,870,805,28,520
55.551083,0,136,158,20,903,768,28,385
44.133358,0,0,200,3,1124.4,613.2,28,500.1
39.375973,50,0,200,3,1124.4,613.2,28,450.1
55.64761,17.2,158,167,20.8,967,633,28,397
47.27737,17.5,163,167,17.9,996,652,28,333
44.326412,17.6,158,189,15.3,967,633,28,334
52.30365,0,0,175,0,1120,695,28,405
49.24927,200,0,190,0,1145,660,28,200
41.36856,0,0,162,8.26,801,802,28,516
29.15794,116,119,184,5.7,833,880,28,145
39.39666,128,122,182,6.4,824,879,28,160
39.300133,156,0,189,5.85,981,760,28,234
67.86512,180,95,159,9.45,860,800,28,250
58.522724,0,0,162,9.5,1044,662,28,475
53.57918,190,0,163,7.6,1031,685,28,285
58.998463,119,0,160,9.03,1061,657,28,356
76.23536,180,120,162,10.35,830,765,28,275
69.83702,0,0,151,9,1033,655,28,500
14.396259,0.02,143.57,163.81,0,1005.6,900.9,3,165
19.415644,128.5,132.1,175.06,8.08,1005.8,746.6,3,165
20.725649,129.8,118.6,179.94,3.57,1007.3,746.8,3,178.03
14.940945,129.9,128.62,175.46,7.79,1006.3,746.6,3,167.35
21.29102,13.61,172.37,156.76,4.14,1006.3,856.4,3,172.38
23.076761,50.05,173.53,164.77,6.47,1006.2,793.5,3,173.54
15.520104,75.4,167,164.03,7.91,1007.3,770.1,3,167
15.81658,93.37,159.9,172.34,9.73,1007.2,746.6,3,173.81
12.548463,0,125.18,166.61,9.88,1079,798.9,3,190.34
8.48745,0,95.69,191.84,5.33,948.9,857.2,3,250
15.609736,0,174.24,159.21,11.66,1043.6,771.9,3,213.5
12.1761465,0,100.52,170.17,7.48,998,901.8,3,194.68
11.983093,0,118.27,192.94,5.75,1043.6,754.3,3,251.37
16.878372,0.02,143.57,163.81,0,1005.6,900.9,14,165
33.08795,128.5,132.1,175.06,8.08,1005.8,746.6,14,165
34.23938,129.8,118.6,179.94,3.57,1007.3,746.8,14,178.03
31.812422,129.9,128.62,175.46,7.79,1006.3,746.6,14,167.35
29.750889,13.61,172.37,156.76,4.14,1006.3,856.4,14,172.38
33.005215,50.05,173.53,164.77,6.47,1006.2,793.5,14,173.54
32.901794,75.4,167,164.03,7.91,1007.3,770.1,14,167
29.550941,93.37,159.9,172.34,9.73,1007.2,746.6,14,173.81
19.415644,0,125.18,166.61,9.88,1079,798.9,14,190.34
24.655663,0,95.69,191.84,5.33,948.9,857.2,14,250
29.59231,0,174.24,159.21,11.66,1043.6,771.9,14,213.5
24.283344,0,100.52,170.17,7.48,998,901.8,14,194.68
20.725649,0,118.27,192.94,5.75,1043.6,754.3,14,251.37
26.200089,0.02,143.57,163.81,0,1005.6,900.9,28,165
46.387947,128.5,132.1,175.06,8.08,1005.8,746.6,28,165
39.162235,129.8,118.6,179.94,3.57,1007.3,746.8,28,178.03
41.203087,129.9,128.62,175.46,7.79,1006.3,746.6,28,167.35
33.687798,13.61,172.37,156.76,4.14,1006.3,856.4,28,172.38
38.203865,50.05,173.53,164.77,6.47,1006.2,793.5,28,173.54
41.409927,75.4,167,164.03,7.91,1007.3,770.1,28,167
37.810863,93.37,159.9,172.34,9.73,1007.2,746.6,28,173.81
24.848715,0,125.18,166.61,9.88,1079,798.9,28,190.34
27.220512,0,95.69,191.84,5.33,948.9,857.2,28,250
44.636677,0,174.24,159.21,11.66,1043.6,771.9,28,213.5
37.26618,0,100.52,170.17,7.48,998,901.8,28,194.68
33.274113,0,118.27,192.94,5.75,1043.6,754.3,28,251.37
36.562912,0.02,143.57,163.81,0,1005.6,900.9,56,165
53.72397,128.5,132.1,175.06,8.08,1005.8,746.6,56,165
48.58737,129.8,118.6,179.94,3.57,1007.3,746.8,56,178.03
51.72449,129.9,128.62,175.46,7.79,1006.3,746.6,56,167.35
