Error,Experiments,Learning Rate,LR Decay,Tolerance,Gradient,Hyperparameters
3.6195017E-24,265,0.7517962,0.9941092,1.4157964E-12,0.114799514,10
3.668326E-24,266,0.75150526,0.994121,1.4174668E-12,0.1172702,10
3.639743E-24,263,0.75152975,0.99411196,1.4156805E-12,0.12150988,10
3.659121E-24,262,0.7517984,0.9941084,1.415415E-12,0.11411714,10
3.651995E-24,266,0.7519637,0.9941097,1.4164891E-12,0.11851162,10
3.656802E-24,261,0.75151914,0.99411553,1.4156789E-12,0.11815593,10
3.625634E-24,265,0.7517869,0.9941106,1.4158444E-12,0.11330215,10
3.6616967E-24,262,0.7516928,0.99411213,1.4160143E-12,0.11555408,10
3.6394705E-24,264,0.75163794,0.99411047,1.4157515E-12,0.11409413,10
3.6179784E-24,265,0.75193244,0.9941042,1.4161035E-12,0.113734104,10
3.627299E-24,265,0.7516132,0.9941137,1.4165437E-12,0.11480294,10
3.6418533E-24,268,0.7514188,0.9941197,1.4169267E-12,0.12172261,10
3.643731E-24,268,0.75154436,0.9941135,1.4183871E-12,0.11730149,10
3.660594E-24,261,0.7520053,0.9941074,1.4161762E-12,0.11562069,10
3.6656315E-24,262,0.7518998,0.9941238,1.4163978E-12,0.12076607,10
3.656565E-24,264,0.7515773,0.99412227,1.4179251E-12,0.117252015,10
3.6674865E-24,262,0.7516178,0.99411285,1.4174172E-12,0.11586401,10
3.6564196E-24,263,0.7514449,0.9941136,1.418202E-12,0.12015917,10
3.655731E-24,263,0.75204086,0.9941146,1.4158125E-12,0.11696961,10
3.6570294E-24,266,0.75165904,0.9941148,1.4158192E-12,0.11563101,10
3.641313E-24,268,0.7516567,0.99411935,1.4175549E-12,0.11676591,10
3.645876E-24,264,0.751916,0.9941207,1.4162182E-12,0.11846473,10
3.6397123E-24,268,0.7517031,0.994111,1.4174808E-12,0.11441419,10
3.6324343E-24,268,0.75144446,0.99412173,1.4158194E-12,0.11416064,10
3.6375118E-24,268,0.75150716,0.9941226,1.4165376E-12,0.11431233,10
3.6627873E-24,263,0.7520277,0.9941148,1.4159067E-12,0.114446685,10
3.6589605E-24,263,0.7514831,0.9941191,1.4181038E-12,0.12165705,10
3.6527715E-24,261,0.7514279,0.9941185,1.4153887E-12,0.12047997,10
3.6510372E-24,264,0.7517323,0.99410903,1.4177866E-12,0.113073096,10
3.618627E-24,265,0.75183284,0.9941069,1.4181219E-12,0.11945918,10
3.634727E-24,264,0.7516086,0.9941106,1.4159754E-12,0.11610407,10
3.6336953E-24,265,0.7516719,0.9941186,1.4178474E-12,0.1179781,10
3.646663E-24,268,0.7513925,0.994119,1.4173703E-12,0.12306914,10
3.6657857E-24,266,0.751593,0.994124,1.417906E-12,0.121262066,10
3.6376585E-24,268,0.7518572,0.9941094,1.4169529E-12,0.11322572,10
3.6521858E-24,266,0.7518555,0.99410903,1.4153936E-12,0.1148671,10
3.641612E-24,268,0.751673,0.99411285,1.4172604E-12,0.119204216,10
3.642485E-24,268,0.75190556,0.9941232,1.41687E-12,0.11997633,10
3.6568215E-24,264,0.7517448,0.99412185,1.4178392E-12,0.11723601,10
3.635764E-24,264,0.7515214,0.99411684,1.4171055E-12,0.12167024,10
3.6537643E-24,268,0.75189805,0.994121,1.4184274E-12,0.12101083,10
3.6611958E-24,263,0.75182784,0.9941158,1.4179806E-12,0.119884536,10
3.6461766E-24,268,0.7519933,0.9941104,1.4181587E-12,0.11648553,10
3.653258E-24,263,0.7516066,0.9941121,1.4174658E-12,0.1198591,10
3.646407E-24,266,0.7514377,0.99411905,1.4152816E-12,0.12048187,10
3.6407623E-24,265,0.7519428,0.99411327,1.4177505E-12,0.11352553,10
3.6435785E-24,264,0.7520013,0.99410814,1.4169655E-12,0.11469095,10
3.6419992E-24,264,0.7515831,0.99412155,1.4165426E-12,0.11975131,10
3.6066843E-24,265,0.75152385,0.9941131,1.4158854E-12,0.12258615,10
3.6568188E-24,266,0.75181496,0.9941167,1.415597E-12,0.11720976,10
3.6491794E-24,264,0.7520248,0.99411607,1.4160355E-12,0.11464021,10
3.666515E-24,261,0.7515186,0.99411756,1.4163062E-12,0.11680194,10
3.6347543E-24,268,0.75187844,0.99411386,1.4157361E-12,0.11332523,10
3.6527597E-24,264,0.75154805,0.9941203,1.4170332E-12,0.11589082,10
3.6053117E-24,265,0.7519747,0.99410564,1.4152597E-12,0.11880124,10
3.612311E-24,265,0.7513969,0.9941207,1.4153574E-12,0.122046344,10
3.6579417E-24,261,0.7514887,0.994114,1.4165748E-12,0.11901258,10
3.6584982E-24,262,0.7517661,0.9941113,1.4169578E-12,0.11980761,10
3.6262224E-24,265,0.7517145,0.994113,1.4168139E-12,0.11531663,10
3.6622106E-24,266,0.7518234,0.9941189,1.4174867E-12,0.12014466,10
3.6376636E-24,268,0.7514165,0.99411464,1.4174044E-12,0.11492284,10
3.6412423E-24,264,0.7517235,0.994109,1.4173041E-12,0.115708336,10
3.6340952E-24,265,0.75147545,0.99411994,1.4180234E-12,0.11797627,10
3.631569E-24,264,0.75152427,0.99412304,1.4151797E-12,0.122823805,10
3.6664334E-24,263,0.75144994,0.99412,1.4162328E-12,0.11412659,10
3.659889E-24,262,0.75190175,0.9941221,1.4154294E-12,0.12044111,10
3.631622E-24,268,0.7514254,0.99411476,1.4159521E-12,0.11919586,10
3.641707E-24,268,0.75161725,0.99412394,1.4168826E-12,0.120225556,10
3.6434133E-24,265,0.7516596,0.9941216,1.4174905E-12,0.11490847,10
3.661211E-24,263,0.75139374,0.994116,1.417205E-12,0.11640196,10
3.6566156E-24,264,0.7520082,0.99411434,1.4183265E-12,0.11557117,10
3.6303438E-24,264,0.75143456,0.9941139,1.415565E-12,0.118226446,10
3.6474932E-24,266,0.7515734,0.9941128,1.4162841E-12,0.1203427,10
3.640454E-24,268,0.751763,0.99412423,1.4170303E-12,0.11734217,10
3.6683933E-24,263,0.7518485,0.99411577,1.4179143E-12,0.116075605,10
3.6603217E-24,262,0.75201267,0.99410707,1.4163706E-12,0.1152382,10
3.6409433E-24,263,0.751844,0.9941072,1.4152963E-12,0.11903604,10
3.6537414E-24,266,0.75170755,0.994114,1.4157408E-12,0.1169321,10
3.6609074E-24,266,0.7519805,0.99411106,1.4170078E-12,0.11637733,10
3.6653105E-24,262,0.75204974,0.9941161,1.4148907E-12,0.11462556,10
3.6552225E-24,262,0.75211555,0.99410313,1.4161424E-12,0.11638237,10
3.6398425E-24,266,0.75186193,0.99410874,1.4141273E-12,0.11691692,10
3.6342483E-24,265,0.7520685,0.9941156,1.4157809E-12,0.11347968,10
3.6590615E-24,263,0.7520606,0.99411136,1.4152145E-12,0.113345385,10
3.6412076E-24,268,0.7518269,0.99410605,1.4168223E-12,0.119222604,10
3.6229683E-24,264,0.7513491,0.9941169,1.4144254E-12,0.12022537,10
3.62057E-24,265,0.75140387,0.9941146,1.4150148E-12,0.113918655,10
3.6432795E-24,264,0.75192404,0.9941101,1.416724E-12,0.11506748,10
3.6362212E-24,265,0.7517338,0.99411225,1.4182786E-12,0.114545055,10
3.645209E-24,263,0.751767,0.99411565,1.4143205E-12,0.11809331,10
3.630235E-24,268,0.7515212,0.9941135,1.4159666E-12,0.1156969,10
3.655521E-24,266,0.7515532,0.99411553,1.4165634E-12,0.11788902,10
3.6262547E-24,268,0.75205046,0.99410933,1.4138923E-12,0.115870975,10
