Next_Q_GDP_Growth_Pct,Year,Quarter,Current_GDP_Growth_Pct,Unemployment_Rate_Pct,Fed_Funds_Rate_Pct,Inflation_Rate_YoY_Pct,Consumer_Sentiment_Idx,Yield_Curve_Spread_Pct,ISM_Manufacturing_PMI,Housing_Starts_Thousands
0.85,1991,2,0.70,6.8,5.75,4.9,77.8,0.50,45.0,1150
0.60,1991,3,0.85,6.9,5.40,4.4,79.1,0.85,47.2,1210
1.00,1991,4,0.60,7.1,4.40,3.7,81.0,1.20,48.9,1280
1.05,1992,1,1.00,7.4,4.00,3.2,80.5,1.55,50.5,1350
1.15,1992,2,1.05,7.6,3.75,3.1,82.1,1.80,51.8,1390
0.95,1992,3,1.15,7.6,3.10,3.0,83.5,2.10,53.0,1440
1.20,1992,4,0.95,7.4,3.00,2.9,85.9,2.40,54.1,1490
0.70,1993,1,1.20,7.1,3.00,3.1,87.2,2.55,55.0,1520
0.80,1993,2,0.70,7.0,3.00,3.0,86.0,2.60,55.5,1540
0.90,1993,3,0.80,6.8,3.00,2.8,84.8,2.50,55.8,1560
1.30,1993,4,0.90,6.5,3.00,2.7,87.1,2.40,56.3,1610
1.10,1994,1,1.30,6.6,3.30,2.5,89.5,2.30,56.9,1650
1.25,1994,2,1.10,6.1,4.00,2.5,91.8,2.15,57.5,1680
0.80,1994,3,1.25,6.0,4.75,2.8,90.9,1.80,57.8,1660
0.90,1994,4,0.80,5.6,5.50,2.7,92.3,1.50,57.1,1630
0.20,1995,1,0.90,5.4,6.00,2.9,91.5,1.10,56.0,1580
0.60,1995,2,0.20,5.6,5.90,3.0,89.8,1.25,54.2,1520
0.75,1995,3,0.60,5.6,5.75,2.6,88.1,1.40,53.0,1490
0.85,1995,4,0.75,5.6,5.50,2.5,87.5,1.60,52.1,1470
0.95,1996,1,0.85,5.5,5.20,2.8,88.9,1.75,51.5,1500
1.60,1996,2,0.95,5.4,5.25,2.9,90.8,1.85,52.8,1550
0.90,1996,3,1.60,5.2,5.30,3.0,92.5,1.70,53.9,1590
1.10,1996,4,0.90,5.3,5.25,3.3,94.1,1.60,54.5,1620
1.20,1997,1,1.10,5.2,5.20,3.0,95.8,1.70,55.3,1660
1.30,1997,2,1.20,5.0,5.50,2.3,97.9,1.80,56.1,1690
1.05,1997,3,1.30,4.9,5.50,2.2,100.4,1.70,56.8,1710
0.80,1997,4,1.05,4.7,5.50,1.7,101.8,1.60,57.1,1730
0.95,1998,1,0.80,4.6,5.50,1.4,103.2,1.45,56.8,1740
1.20,1998,2,0.95,4.4,5.50,1.7,104.9,1.20,56.2,1720
1.15,1998,3,1.20,4.5,5.50,1.5,102.1,0.80,55.0,1680
1.35,1998,4,1.15,4.4,4.70,1.6,100.8,1.00,54.1,1650
0.80,1999,1,1.35,4.3,4.75,1.7,102.5,1.15,53.5,1680
0.90,1999,2,0.80,4.3,4.75,2.1,104.1,1.25,54.8,1700
1.25,1999,3,0.90,4.2,5.10,2.6,105.9,1.10,55.9,1720
0.60,1999,4,1.25,4.1,5.40,2.7,107.2,0.95,56.7,1740
1.80,2000,1,0.60,4.0,5.75,3.2,108.8,0.70,57.3,1750
0.45,2000,2,1.80,3.9,6.50,3.7,109.5,0.45,57.9,1730
0.30,2000,3,0.45,4.0,6.50,3.5,108.1,0.30,56.5,1700
-0.10,2000,4,0.30,3.9,6.50,3.4,106.2,0.15,54.8,1650
-0.35,2001,1,-0.10,4.2,5.50,3.0,99.8,0.30,52.1,1600
0.60,2001,2,-0.35,4.4,4.00,3.3,95.1,0.80,49.0,1570
-0.40,2001,3,0.60,4.8,3.00,2.6,88.5,1.25,46.2,1540
0.45,2001,4,-0.40,5.5,1.90,1.9,85.9,1.80,43.9,1520
0.80,2002,1,0.45,5.7,1.75,1.1,88.3,2.30,46.5,1560
0.55,2002,2,0.80,5.8,1.75,1.5,90.8,2.50,48.8,1600
0.65,2002,3,0.55,5.7,1.75,1.5,86.2,2.20,50.1,1630
0.40,2002,4,0.65,5.9,1.25,2.4,84.9,1.95,51.5,1660
0.85,2003,1,0.40,5.9,1.25,3.0,79.9,2.10,52.8,1680
1.20,2003,2,0.85,6.2,1.25,2.1,83.1,2.40,54.0,1710
1.70,2003,3,1.20,6.1,1.00,2.3,89.3,2.65,55.5,1750
1.00,2003,4,1.70,5.8,1.00,1.9,92.6,2.80,56.8,1790
0.80,2004,1,1.00,5.7,1.00,1.7,95.8,2.90,57.5,1830
0.95,2004,2,0.80,5.6,1.25,2.8,96.0,2.70,58.1,1880
1.00,2004,3,0.95,5.4,1.60,2.5,95.5,2.40,58.5,1940
0.90,2004,4,1.00,5.4,2.10,3.0,93.2,2.10,57.9,2010
1.10,2005,1,0.90,5.2,2.50,3.1,91.8,1.75,57.1,2090
0.70,2005,2,1.10,5.1,3.00,2.8,89.7,1.40,56.0,2150
0.85,2005,3,0.70,5.0,3.60,4.0,85.2,1.05,55.2,2180
1.15,2005,4,0.85,4.9,4.10,3.5,88.9,0.70,54.5,2190
0.50,2006,1,1.15,4.7,4.50,3.5,91.2,0.40,54.0,2150
0.30,2006,2,0.50,4.7,5.00,4.3,84.9,0.15,53.1,2050
0.25,2006,3,0.30,4.6,5.25,2.5,85.8,0.05,52.0,1930
0.40,2006,4,0.25,4.5,5.25,2.1,88.6,0.00,51.2,1780
0.65,2007,1,0.40,4.4,5.25,2.6,87.5,-0.05,50.5,1650
0.55,2007,2,0.65,4.5,5.25,2.7,85.3,-0.10,50.1,1510
0.50,2007,3,0.55,4.7,4.90,2.4,83.4,-0.15,49.5,1420
-0.45,2007,4,0.50,4.9,4.40,3.7,75.5,-0.30,48.8,1280
-0.65,2008,1,-0.45,5.0,2.80,4.0,69.5,-0.55,47.9,1150
0.40,2008,2,-0.65,5.4,2.00,4.9,60.1,-0.80,47.0,1050
-1.90,2008,3,0.40,6.1,1.90,5.4,57.6,-1.10,45.5,930
-2.10,2008,4,-1.90,7.3,0.15,1.1,55.5,-0.90,42.1,750
-0.75,2009,1,-2.10,8.6,0.15,-0.7,57.3,0.70,40.1,580
0.10,2009,2,-0.75,9.3,0.15,-1.4,66.2,1.80,43.5,550
0.45,2009,3,0.10,9.6,0.10,-1.3,70.4,2.30,46.8,590
0.55,2009,4,0.45,9.9,0.10,2.7,72.5,2.90,49.9,630
0.80,2010,1,0.55,9.8,0.15,2.4,73.6,3.20,52.5,660
0.70,2010,2,0.80,9.5,0.18,1.1,76.0,3.10,54.8,680
0.75,2010,3,0.70,9.5,0.19,1.2,67.7,2.85,56.0,700
0.35,2010,4,0.75,9.3,0.18,1.6,71.6,2.60,57.2,720
0.50,2011,1,0.35,9.0,0.16,2.7,74.3,2.50,57.8,730
0.65,2011,2,0.50,9.1,0.09,3.6,63.7,2.40,56.5,740
0.15,2011,3,0.65,9.0,0.08,3.8,59.4,1.95,54.0,750
0.85,2011,4,0.15,8.6,0.07,3.0,64.1,1.85,53.1,780
0.70,2012,1,0.85,8.3,0.08,2.7,76.2,1.80,52.5,820
0.50,2012,2,0.70,8.2,0.14,1.7,73.2,1.55,51.8,870
0.30,2012,3,0.50,7.9,0.15,2.0,78.3,1.40,50.9,930
0.60,2012,4,0.30,7.8,0.16,1.8,71.8,1.50,50.2,990
0.75,2013,1,0.60,7.6,0.14,1.1,76.4,1.70,51.1,1050
0.55,2013,2,0.75,7.5,0.11,1.8,84.5,1.95,52.3,1100
0.85,2013,3,0.55,7.2,0.08,1.2,77.5,2.15,53.9,1140
0.40,2013,4,0.85,6.9,0.09,1.5,82.5,2.30,55.2,1180
-0.50,2014,1,0.40,6.7,0.08,1.1,80.0,2.45,54.1,1210
1.20,2014,2,-0.50,6.1,0.09,2.1,81.9,2.25,53.0,1250
1.30,2014,3,1.20,6.1,0.09,1.7,84.6,2.10,54.5,1290
0.65,2014,4,1.30,5.7,0.11,0.8,93.6,1.85,56.3,1320
0.85,2015,1,0.65,5.5,0.12,-0.1,93.0,1.70,54.8,1340
0.75,2015,2,0.85,5.3,0.13,0.1,96.1,1.60,53.8,1360
0.50,2015,3,0.75,5.0,0.14,0.0,90.0,1.50,52.1,1370
0.30,2015,4,0.50,5.0,0.24,0.7,92.6,1.40,50.9,1380
0.60,2016,1,0.30,4.9,0.36,1.0,91.0,1.25,49.8,1390
0.70,2016,2,0.60,4.9,0.38,1.0,93.5,1.10,50.7,1410
0.55,2016,3,0.70,4.9,0.40,1.5,89.8,1.00,51.7,1440
0.75,2016,4,0.55,4.7,0.54,2.1,98.2,1.20,53.0,1480
0.70,2017,1,0.75,4.5,0.79,2.7,96.9,1.15,54.5,1520
0.85,2017,2,0.70,4.3,1.04,1.6,95.1,1.05,56.0,1550
0.90,2017,3,0.85,4.2,1.15,2.2,100.7,0.95,57.9,1580
0.95,2017,4,0.90,4.1,1.30,2.1,95.9,0.80,59.1,1610
0.80,2018,1,0.95,4.0,1.51,2.2,99.3,0.70,59.3,1640
0.90,2018,2,0.80,3.9,1.80,2.9,98.2,0.60,58.7,1660
0.65,2018,3,0.90,3.8,1.95,2.3,98.6,0.45,57.7,1670
0.50,2018,4,0.65,3.9,2.40,1.9,91.2,0.25,56.6,1650
0.75,2019,1,0.50,3.7,2.41,2.0,97.2,0.15,55.3,1620
0.70,2019,2,0.75,3.6,2.38,1.6,98.2,-0.05,54.2,1590
0.70,2019,3,0.70,3.6,2.04,1.8,93.2,-0.10,52.6,1570
0.30,2019,4,0.70,3.5,1.55,2.3,99.3,0.05,51.2,1560
-1.30,2020,1,0.30,3.8,1.58,2.5,95.9,0.20,50.9,1580
-9.10,2020,2,-1.30,13.1,0.05,0.2,71.8,-0.15,43.1,1050
7.50,2020,3,-9.10,8.8,0.09,1.3,78.1,0.50,51.5,1480
1.10,2020,4,7.50,6.7,0.09,1.4,80.7,0.80,57.1,1650
1.60,2021,1,1.10,6.2,0.07,2.6,79.0,1.50,60.8,1710
1.75,2021,2,1.60,5.9,0.08,5.4,85.5,1.45,62.1,1730
0.60,2021,3,1.75,5.1,0.09,5.4,72.8,1.30,59.9,1690
1.70,2021,4,0.60,4.2,0.08,7.0,67.4,1.35,58.7,1650
-0.40,2022,1,1.70,3.6,0.20,8.5,65.2,0.80,57.1,1710
-0.15,2022,2,-0.40,3.6,1.21,9.1,50.0,0.25,53.0,1650
0.80,2022,3,-0.15,3.5,2.56,8.2,58.6,-0.40,50.9,1580
0.60,2022,4,0.80,3.5,3.78,6.5,59.7,-0.75,49.2,1500
0.55,2023,1,0.60,3.4,4.57,5.0,63.5,-0.65,47.1,1450
0.53,2023,2,0.55,3.6,5.06,3.0,64.4,-0.95,46.4,1410
1.20,2023,3,0.53,3.8,5.33,3.7,67.7,-0.70,46.0,1380
0.80,2023,4,1.20,3.7,5.33,3.4,61.3,-0.45,49.0,1350
