label, feature1, feature2, feature3, feature4, feature5
0.5863,-0.5922,-0.5045,-0.4757,0.5003,-0.086
0.7301,-0.8861,0.017,-0.5761,0.5972,-0.4053
0.1404,0.6877,-0.238,0.4997,0.0223,0.0819
0.1907,0.9189,0.6079,-0.9354,0.4188,-0.07
0.279,-0.1428,-0.782,0.2676,0.6059,0.3936
0.1071,0.5324,-0.3151,0.6917,-0.1425,0.648
0.7784,-0.8432,-0.9633,-0.8666,-0.0828,-0.7733
0.6787,-0.9444,0.5097,-0.2103,0.4939,-0.0952
0.4836,-0.052,0.6063,-0.1952,0.8094,-0.9259
0.1241,0.5477,-0.7487,0.237,-0.9793,0.0773
0.2355,0.245,0.8116,0.9799,0.4222,0.4636
0.1511,0.8186,-0.1983,-0.5003,-0.6531,-0.7611
0.595,-0.4714,0.6382,-0.3788,0.9648,-0.4667
0.2677,0.0673,-0.3711,0.8215,-0.2669,-0.1328
0.5518,-0.9381,0.4338,0.782,-0.9454,0.0441
0.4724,-0.348,0.719,0.117,0.3805,-0.0943
0.5438,-0.9813,0.1535,-0.3771,0.0345,0.8328
0.3042,-0.1471,-0.5052,-0.2574,0.8637,0.8737
0.5783,-0.5454,-0.3712,-0.6505,0.2142,-0.1728
0.1153,0.6327,-0.6297,0.4038,-0.5193,0.1484
0.6613,-0.5424,0.3282,-0.0055,0.038,-0.6506
0.254,0.1414,0.9935,0.6337,0.1887,0.952
0.7353,-0.9351,-0.8128,-0.8693,-0.0965,-0.2491
0.1059,0.9507,-0.664,0.9456,0.5349,0.6485
0.2606,-0.0462,-0.9737,-0.294,-0.0159,0.4602
0.2977,-0.0627,-0.0852,-0.7247,-0.9782,0.5166
0.3335,0.0478,0.5098,-0.0723,-0.7504,-0.375
0.4415,0.009,0.3477,0.5403,-0.7393,-0.9542
0.4358,-0.9748,0.3449,0.3736,-0.1015,0.8296
0.2057,0.2887,-0.9895,-0.0311,0.7186,0.6608
0.3244,0.157,-0.4518,0.1211,0.3435,-0.2951
0.1096,0.7117,-0.6099,0.4946,-0.4208,0.5476
0.2465,-0.2929,-0.5726,0.5346,-0.3827,0.4665
0.2163,0.4889,-0.5572,-0.5718,-0.6021,-0.715
0.6516,-0.7782,0.3491,0.5996,-0.8389,-0.5366
0.6134,-0.5847,0.8347,0.4226,0.1078,-0.391
0.1571,0.8469,0.4121,-0.0439,-0.7476,0.9521
0.7156,-0.6803,-0.5948,-0.1376,-0.1916,-0.7065
0.298,0.2878,0.5086,-0.5785,0.2019,0.4979
0.296,0.2764,0.1943,-0.409,0.4632,0.8906
0.7107,-0.8877,0.6705,-0.6155,-0.2098,-0.3998
0.6502,-0.8398,0.8093,-0.2597,0.0614,-0.0118
0.7715,-0.8476,0.0158,-0.4769,-0.2859,-0.7839
0.1175,0.5751,-0.7868,0.9714,-0.6457,0.1448
0.109,0.4802,-0.7001,0.1022,-0.5668,0.5184
0.0779,0.4458,-0.6469,0.7239,-0.9604,0.7205
0.2879,0.5175,0.4339,0.9747,-0.4438,-0.9924
0.1678,0.8678,0.7158,0.4577,0.0334,0.4139
0.2088,0.5406,0.5012,0.2264,-0.1963,0.3946
0.7687,-0.9938,0.5498,0.7928,-0.5214,-0.7585
0.1466,0.7661,0.0863,-0.4266,-0.7233,-0.4197
0.1767,0.2277,-0.3517,-0.0853,-0.1118,0.6563
0.1632,0.3499,-0.557,-0.0655,-0.3705,0.2537
0.1257,0.7547,-0.1046,0.5689,-0.0861,0.3125
0.1391,0.8186,0.211,0.5335,0.0094,-0.0039
0.1845,0.6858,-0.8644,0.1465,0.8855,0.0357
0.4663,-0.4967,0.4015,0.0805,0.8977,0.2487
0.1509,0.676,-0.9841,0.9787,-0.8446,-0.3557
0.4854,-0.1203,-0.4885,0.6054,-0.0443,-0.7313
0.2002,0.8557,0.7919,-0.0169,0.7134,-0.1628
0.4052,0.0115,-0.6209,0.93,-0.4116,-0.7931
0.3661,-0.7114,-0.9718,0.4319,0.129,0.5892
0.2954,0.3915,0.5557,-0.187,0.2955,-0.6404
0.4622,-0.3564,-0.6548,-0.1827,-0.5172,-0.1862
0.247,0.2392,-0.4959,0.5857,-0.1341,-0.285
0.5325,-0.3394,0.3947,-0.4627,0.6166,-0.4094
0.2757,0.7107,0.7768,-0.6312,0.1707,0.7964
0.4028,-0.1078,0.8437,-0.442,0.2177,0.3649
0.5546,-0.3139,0.5595,-0.6505,-0.3161,-0.7108
0.181,0.4335,0.3986,0.377,-0.4932,0.3847
0.4036,-0.2562,-0.2894,-0.8847,0.2633,0.4146
0.2778,0.2272,0.2966,-0.6601,-0.7011,0.0284
0.3597,-0.0743,-0.1421,-0.0054,-0.677,-0.3151
0.4266,-0.4762,0.6891,0.6007,-0.1467,0.214
0.6147,-0.4061,0.7193,0.3432,0.2669,-0.7505
0.4955,-0.0588,0.9731,0.8966,0.2902,-0.6966
0.3077,-0.0627,-0.1439,0.1985,0.6999,0.5022
0.4263,0.1587,0.8494,-0.8705,0.9827,-0.894
0.7199,-0.785,0.2473,-0.904,-0.4308,-0.8779
0.2215,0.407,0.3369,-0.2428,-0.6236,0.494
0.3947,-0.0242,0.0513,-0.943,0.2885,-0.2987
0.3683,-0.5416,-0.1322,-0.2351,-0.0604,0.959
0.2984,0.1055,0.7783,-0.2901,-0.509,0.822
0.4776,-0.9129,0.9015,0.1128,-0.2473,0.9901
0.5368,-0.9378,0.1424,-0.6391,0.2619,0.9618
0.1614,0.7498,-0.0963,0.4169,0.5549,-0.0103
0.3717,-0.2612,-0.7156,0.4538,-0.046,-0.1022
0.1685,0.772,0.0552,-0.1818,-0.4622,-0.856
0.3052,-0.4177,0.007,0.9319,-0.7812,0.3461
0.3803,-0.0001,0.5542,-0.7128,-0.8336,-0.2016
0.1776,0.5356,-0.4194,-0.5662,-0.9666,-0.2027
0.5474,-0.2378,0.3187,-0.8582,-0.6948,-0.9668
0.2992,-0.1947,-0.3579,0.1158,0.9869,0.669
0.3154,0.3992,0.8365,-0.9205,-0.8593,-0.052
0.1864,-0.0209,0.0793,0.7905,-0.1067,0.7541
0.6261,-0.4928,-0.4524,-0.3433,0.0951,-0.5597
0.6349,-0.8118,0.7404,-0.5263,-0.228,0.1431
0.1959,0.0516,-0.848,0.7483,0.9023,0.625
0.2735,-0.3212,0.1093,0.9488,-0.3766,0.3376
0.4379,-0.3481,0.549,-0.3484,0.7797,0.5034
0.4121,-0.5785,-0.917,-0.3563,-0.9258,0.3877
0.3458,0.3407,-0.1391,0.5356,0.072,-0.9203
0.3247,-0.3287,-0.8954,0.2102,0.0241,0.2349
0.3338,-0.1353,0.6954,-0.0919,-0.9692,0.7461
0.1187,0.9036,-0.8982,-0.5299,-0.8733,-0.1567
0.083,0.7277,-0.8368,-0.0538,-0.7489,0.5458
0.2194,0.9049,0.8878,0.2279,0.947,-0.3103
0.2172,0.7957,-0.1308,-0.5284,0.8817,0.3684
0.3371,0.4647,-0.4931,0.201,0.6292,-0.8918
0.7039,-0.739,0.6849,0.2367,0.0626,-0.5034
0.171,-0.1567,-0.8711,0.794,-0.5932,0.6525
0.1445,0.7635,-0.0265,0.1969,0.0545,0.2496
0.1728,0.7675,0.1354,-0.7698,-0.546,0.192
0.5217,-0.5211,-0.7372,-0.6763,0.6897,0.2044
0.1998,0.1913,0.198,0.2314,-0.8816,0.5006
0.1825,0.8964,0.0694,-0.6149,0.5059,-0.9854
0.2832,0.1767,0.7104,0.2093,0.6452,0.759
0.5657,-0.358,-0.7541,0.4426,-0.1193,-0.7465
0.68,-0.5996,0.5766,-0.9758,-0.3933,-0.9572
0.2003,0.995,0.1641,-0.4132,0.8579,0.0142
0.4266,-0.4717,-0.3894,-0.2567,-0.5111,0.1691
0.1212,0.3917,-0.8561,0.9422,0.5061,0.6123
0.2475,-0.0366,-0.1087,0.3449,-0.1025,0.4086
0.1925,0.3633,0.3943,0.2372,-0.698,0.5216
0.3568,-0.5325,-0.6466,-0.2178,-0.3589,0.631
0.3128,0.2271,0.52,-0.1447,-0.8011,-0.7699
0.2181,0.6415,0.1993,0.3777,-0.0178,-0.8237
0.4356,-0.5298,-0.0768,-0.6028,-0.949,0.4588
0.1632,0.687,-0.1431,0.7294,0.3141,0.1621
0.2945,-0.5985,0.0591,0.7889,-0.39,0.7419
0.3449,0.3661,0.7984,-0.8486,0.7572,-0.6183
0.1712,0.6995,0.3342,-0.3113,-0.6972,0.2707
0.2893,0.2565,0.9126,0.1798,-0.6043,-0.1413
0.477,-0.3265,0.9839,-0.2395,0.9854,0.0376
0.3954,0.269,-0.1722,0.9818,0.8599,-0.7015
0.3949,-0.2102,-0.0768,0.1219,0.5607,-0.0256
0.0801,0.8216,-0.9555,0.6422,-0.6231,0.3715
0.437,-0.2896,0.9484,-0.7545,-0.6249,0.7789
0.5402,-0.9985,-0.5448,-0.7092,-0.5931,0.7926
