Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate
49.773273,259.9,100.6,78.4,170.6,10.4,935.7,762.9
49.24927,200,200,0,190,0,1145,660
48.284004,277.05,0,97.39,160.6,11.83,973.9,875.61
47.81378,304,76,0,228,0,932,670
47.401474,297.16,0,117.54,174.8,9.52,1022.8,753.45
47.27737,333,17.5,163,167,17.9,996,652
46.68442,387,20,94,157,13.93,938,845
46.68442,387,20,94,157,11.61,938,845
46.387947,165,128.5,132.1,175.06,8.08,1005.8,746.6
46.24729,289,133.7,0,194.9,5.5,924.1,760.1
46.243156,289,134,0,195,6,924,760
46.23419,314,145.3,113.2,178.9,8,869.1,690.2
46.229366,314,145,113,179,8,869,690
45.939785,213.5,0,174.24,154.61,11.66,1052.3,775.48
45.85429,266,114,0,228,0,932,670
45.705364,213.72,98.05,24.51,181.71,6.86,1065.8,785.38
45.30478,310,142.8,0,167.9,10,914.3,804
45.298573,310,143,0,168,10,914,804
44.86834,336.5,0,0,181.9,3.4,985.8,816.8
44.864204,336,0,0,182,3,986,817
44.636677,213.5,0,174.24,159.21,11.66,1043.6,771.9
44.611855,141.9,166.6,129.7,173.5,10.9,882.6,785.3
44.609097,142,167,130,174,11,883,785
44.5236,312.7,144.7,0,127.3,8,999.7,822.2
44.519466,313,145,0,127,8,1000,822
44.42294,446,24,79,162,11.64,967,712
44.388466,313,145,0,178,8,867,824
44.326412,334,17.6,158,189,15.3,967,633
44.284355,276.4,116,90.3,179.6,8.9,870.1,768.3
44.27815,276,116,90,180,9,870,768
44.133358,500.1,0,0,200,3,1124.4,613.2
44.09199,500,0,0,200,0,1125,613
44.029938,355,19,97,145,13.13,967,871
43.942375,480,0,0,192,0,936.2,712.2
43.89204,480,0,0,192,0,936,721
43.798275,287.3,120.5,93.9,187.6,9.2,904.4,695.9
43.733463,284,15,141,179,5.46,842,801
43.69899,400,0,0,187,0,1025,745
43.57833,277,116.8,91,190.6,7,946.5,665.6
43.574883,277,117,91,191,7,946,666
43.377003,305.3,203.5,0,203.5,0,965.4,631
42.64409,298.1,0,107,186.4,6.1,879,815.2
42.637196,298,0,107,186,6,879,815
42.140083,288.4,121,0,177.4,7,907.9,829.5
42.133877,288,121,0,177,7,908,829
41.940826,287,121,94,188,9,904,696
41.68434,203.5,305.3,0,203.5,0,963.4,630
41.54231,264.5,111,86.5,195.5,5.9,832.6,790.4
41.540928,265,111,86,195,6,833,790
41.409927,167,75.4,167,164.03,7.91,1007.3,770.1
41.36856,516,0,0,162,8.2,801,802
41.36856,516,0,0,162,8.26,801,802
41.203087,167.35,129.9,128.62,175.46,7.79,1006.3,746.6
41.05347,313.3,145,0,178.5,8,1001.9,688.7
41.0514,313,145,0,178,8,1002,689
40.93488,284,119.7,0,168.3,7.2,970.4,794.2
40.93419,284,120,0,168,7,970,794
40.92523,313.3,145,0,178.5,8,867.2,824
40.86869,355.9,0,141.6,193.3,11,801.4,778.4
40.865242,356,0,142,193,11,801,778
40.856968,190,190,0,228,0,932,670
40.679085,326,0,138,199,11,801,792
40.230923,213.76,98.06,24.52,181.74,6.65,1066,785.52
40.148186,213.74,0,174.74,154.79,10.16,1053.5,776.35
40.062004,317.9,0,126.5,209.7,5.7,860.5,736.6
40.058556,318,0,126,210,6,861,737
39.941345,295.71,0,95.64,171.54,8.87,955.14,859.2
39.84482,162,207,172,216,10,822,638
39.699337,228,342.1,0,185.7,0,955.8,674.3
39.60488,393,0,0,192,0,940.6,785.6
39.582817,393,0,0,192,0,940,758
39.45595,159.8,250,0,168.4,12.2,1049.3,688.2
39.451817,160,250,0,168,12,1049,688
39.43527,239.6,359.4,0,185.7,0,941.6,664.3
39.42148,266.2,112.3,87.5,177.9,10.4,909.7,744.5
39.417343,266,112,87,178,10,910,745
39.39666,160,128,122,182,6.4,824,879
39.375973,450.1,50,0,200,3,1124.4,613.2
39.321507,192,288,0,192,0,929.8,716.1
39.300133,234,156,0,189,5.85,981,760
39.28979,475,0,0,228,0,932,594
39.162235,178.03,129.8,118.6,179.94,3.57,1007.3,746.8
39.09329,397,0,0,185,0,1040,734
39.056057,374.3,0,0,190.2,6.7,1013.2,730.4
39.05192,374,0,0,190,7,1013,730
38.804398,288,192,0,192,0,932,717.8
38.700287,316.1,210.7,0,185.7,0,977,689.3
38.63065,326.5,0,137.9,199,10.8,801.1,792.5
38.50034,212,0,124.78,159,7.84,1085.4,799.54
38.46104,313.8,0,112.6,169.9,10.1,925.3,782.9
38.458973,314,0,113,170,10,925,783
38.215588,309.9,142.8,111.2,167.8,22.1,913.9,651.2
38.21076,375,0,0,186,0,1038,758
38.203865,173.54,50.05,173.53,164.77,6.47,1006.2,793.5
37.91704,166,259.7,0,183.2,12.7,858.8,826.8
37.914284,166,260,0,183,13,859,827
37.81362,210.7,316.1,0,185.7,0,977,689.3
37.810863,173.81,93.37,159.9,172.34,9.73,1007.2,746.6
37.43786,382.5,0,0,185.7,0,1047.8,739.3
37.431652,150,237,0,174,12,1069,675
37.431652,150,236.8,0,173.8,11.9,1069.3,674.8
37.427517,427.5,47.5,0,228,0,932,594
37.42476,382,0,0,186,0,1047,739
37.42476,382,0,0,185,0,1047,739
37.40407,212.57,0,100.39,159.35,10.37,1003.8,903.79
37.363396,155.6,243.5,0,180.3,10.7,1022,697.7
37.362705,156,243,0,180,11,1022,698
37.26618,194.68,0,100.52,170.17,7.48,998,901.8
37.265488,321.4,0,127.9,182.5,11.5,870.1,779.7
37.25928,321,0,128,182,11,870,780
37.171032,272.8,105.1,81.8,209.7,9,904,679.7
37.16965,273,105,82,210,9,904,680
36.964188,250.2,166.8,0,203.5,0,977.6,694.1
36.93523,397,0,0,186,0,1040,734
36.80492,313.3,0,113,178.5,8,1001.9,688.7
36.80423,313,0,113,178,8,1002,689
36.44777,380,95,0,228,0,932,594
36.443634,139.9,132.6,103.3,200.3,7.4,916,753.4
36.43881,140,133,103,200,7,916,753
36.349865,151.8,178.1,138.7,167.5,18.3,944,694.6
36.349174,152,178,139,168,18,944,695
35.865852,298.1,0,107.5,163.6,12.8,953.2,784
35.859646,298,0,107,164,13,953,784
35.31427,160.2,188,146.4,203.2,11.3,828.7,709.7
35.22533,140,164,128,237,6,869,656
35.22533,139.7,163.9,127.7,236.7,5.8,868.6,655.6
34.7358,290.35,0,96.18,168.08,9.41,961.18,865
34.294537,350,0,0,186,0,1050,770
33.94773,166.8,250.2,0,203.5,0,975.6,692.6
33.9429,251.81,0,99.94,146.14,12.35,1006,899.76
33.7988,255.3,98.8,77,188.6,6.5,919,749.3
33.798115,255,99,77,189,6,919,749
33.76226,162,190.1,148.1,178.8,18.8,838.1,741.4
33.756744,162,190,148,179,19,838,741
33.729164,231.75,0,121.62,173.96,6.72,1056.4,778.45
33.718822,261.9,110.5,86.1,195.4,5,895.2,732.6
33.715378,262,111,86,195,5,895,733
33.687798,172.38,13.61,172.37,156.76,4.14,1006.3,856.4
33.687798,310,143,111,168,22,914,651
33.664356,157,236,0,192,0,935.4,781.2
33.60506,349,0,0,192,0,1056,809
33.41959,303.6,139.9,0,213.5,6.2,895.5,722.5
33.418903,304,140,0,214,6,895,722
33.399597,252.1,97.1,75.6,193.8,8.3,835.5,821.4
33.398216,252,97,76,194,8,835,821
33.30652,132,206.5,160.9,178.9,5.5,866.9,735.6
33.30169,132,207,161,179,5,867,736
33.274113,251.37,0,118.27,192.94,5.75,1043.6,754.3
33.082436,397,0,0,185.7,0,1040.6,734.3
33.060375,146,230,0,202,3,827,872
33.05348,157,214,152,200,9,819,704
33.043137,290.2,193.5,0,185.7,0,998.2,704.3
33.019005,332.5,142.5,0,228,0,932,594
33.003838,212,141.3,0,203.5,0,973.4,750
32.96385,149.5,236,0,175.8,12.6,846.8,892.7
32.95695,149,236,0,176,13,847,893
32.88456,236,157,0,192,0,972.6,749.1
32.83974,160,188,146,203,11,829,710
32.768036,159.1,186.7,0,175.6,11.3,989.6,788.9
32.7639,159,187,0,176,11,990,789
32.72253,349,0,0,192,0,1047,806
32.720463,145.9,230.5,0,202.5,3.4,827,871.8
32.660477,251.37,0,118.27,188.45,6.35,1028.4,757.73
32.626694,193.5,290.2,0,185.7,0,998.2,704.3
32.401234,260.9,100.5,78.3,200.6,8.6,864.5,761.5
32.398476,261,100,78,201,9,864,761
32.245415,272.6,0,89.6,198.7,10.6,931.3,762.2
32.2399,273,0,90,199,11,931,762
32.05167,255.5,170.3,0,185.7,0,1026.6,724.3
32.03995,339,0,0,197,0,968,781
31.971003,376,0,0,214.6,0,1003.5,762.36
31.966866,333,0,0,192,0,931.2,842.6
31.899986,339.2,0,0,185.7,0,1069.2,754.3
31.875164,298.2,0,107,209.7,11.1,879.6,744.2
31.874475,298,0,107,210,11,880,744
31.840002,339,0,0,185,0,1069,754
31.743475,331,0,0,192,0,1025,821
31.646948,339,0,0,185,0,1060,754
31.640053,212.52,0,100.37,159.32,8.71,1007.8,903.59
31.447,331,0,0,192,0,978,825
31.42011,296,0,106.7,221.4,10.5,819.2,778.4
31.419422,296,0,107,221,11,819,778
31.3815,272.8,181.9,0,185.7,0,1012.4,714.3
31.350473,385,0,0,186,0,966,763
31.267736,182.04,45.21,121.97,170.21,8.19,1059.4,780.65
31.178795,322.2,0,115.6,196,10.4,817.9,813.4
31.178104,322,0,116,196,10,818,813
31.116053,168.88,42.22,124.25,158.33,10.83,1080.8,796.15
31.02642,133,210,0,196,3,949,795
30.88163,159,209,161,201,7,848,669
30.847157,249.1,0,98.75,158.11,12.8,987.76,889.01
30.647207,162,214,164,202,10,820,680
30.571365,325,0,0,184,0,1063,783
30.439676,200,133,0,192,0,965.4,806.2
30.233522,238.05,0,94.11,186.66,7,949.91,847.01
30.219732,218.85,0,124.13,158.49,11.33,1078.7,794.91
30.123207,305,0,100,196,10,959,705
30.123207,304.8,0,99.6,196,9.8,959.4,705.2
30.07977,237.5,237.5,0,228,0,932,594
29.892233,141.3,212,0,203.5,0,971.8,748.5
29.87086,143.7,170.2,132.6,191.6,8.5,814.1,805.3
29.868101,144,170,133,192,8,814,805
29.726068,143,169.4,142.7,190.7,8.4,967.4,643.5
29.72331,143,169,143,191,8,967,643
29.654364,251.37,0,118.27,188.45,5.75,1028.4,757.73
29.413046,156,178,187,221,7,854,614
29.219994,250,0,95.69,187.42,5.53,956.86,861.17
29.15794,145,116,119,184,5.7,833,880
29.073135,136.4,161.6,125.8,171.6,10.4,922.6,764.4
29.068308,136,162,126,172,10,923,764
28.991087,155.2,183.9,143.2,193.8,9.2,879.6,698.5
28.98557,155,184,143,194,9,880,699
28.937998,133.1,210.2,0,195.7,3.1,949.4,795.3
28.6298,236.9,91.7,71.5,246.9,6,852.9,695.4
28.627043,237,92,71,247,6,853,695
28.468464,190.34,0,125.18,161.85,9.88,1088.1,802.59
28.23749,139.6,209.4,0,192,0,1047,806.9
28.021683,198.6,132.4,0,192,0,978.4,825.5
27.9355,181.9,272.8,0,185.7,0,1012.4,714.3
27.923779,310,0,0,192,0,970,850
27.874825,133,200,0,192,0,927.4,839.2
27.827251,310,0,0,192,0,1012,830
27.772093,181.38,0,167.01,169.59,7.56,1055.6,777.8
27.681082,158.6,148.9,116,175.1,15,953.3,719.7
27.675566,159,149,116,175,15,953,720
27.530777,307,0,0,193,0,968,812
27.337723,350,0,0,203,0,974,775
27.234303,164,163,128,197,8,961,641
27.220512,250,0,95.69,191.84,5.33,948.9,857.2
26.965406,136,196,98,199,6,847,783
26.922659,147.8,175.1,0,171.2,2.2,1000,828.5
26.917143,148,175,0,171,2,1000,828
26.913696,238.2,158.8,0,185.7,0,1040.6,734.3
26.859917,152.6,238.7,0,200,6.3,1001.8,683.9
26.855091,153,239,0,200,6,1002,684
26.848196,300,0,0,184,0,1075,795
26.400036,190.68,0,125.4,162.14,7.77,1090,804.01
26.233183,153.1,145,113,178.5,8,867.2,824
26.227667,153,145,113,178,8,867,824
26.200089,165,0.02,143.57,163.81,0,1005.6,900.9
26.147688,143.8,136.3,106.2,178.1,7.5,941.5,774.3
26.14493,144,136,106,178,7,941,774
25.965666,277,0,0,191,0,968,856
25.745033,220.8,147.2,0,185.7,0,1055,744.3
25.726418,170.3,155.5,0,185.7,0,1026.6,724.3
25.72435,194.68,0,100.52,165.62,7.48,1006.4,905.9
25.573355,289,0,0,192,0,913.2,895.3
25.559565,153.1,145,113,178.5,8,1001.9,688.7
25.558876,153,145,113,178,8,1002,689
25.216896,295.8,0,0,185.7,0,1091.4,769.3
25.179663,296,0,0,186,0,1090,769
25.179663,295,0,0,185,0,1069,769
25.179663,322,0,0,203,0,974,800
25.10382,312.7,0,0,178.1,8,999.7,822.2
25.096926,313,0,0,178,8,1000,822
24.903873,212.07,0,121.62,180.31,5.69,1057.6,779.32
24.890083,222.36,0,96.67,189.29,4.46,967.08,870.32
24.848715,190.34,0,125.18,166.61,9.88,1079,798.9
24.579819,149,153,194,192,8,935,623
24.53845,229.68,0,118.16,195.23,6.13,1028.1,757.63
24.497082,275,0,0,183,0,1088,808
24.483294,229.97,0,118.31,195.47,4.63,1029.4,758.59
24.338503,154,174,185,228,7,845,612
24.29093,122.6,183.9,0,203.5,0,958.2,800.1
24.281965,173,116,0,192,0,946.8,856.8
24.241976,167.95,42.08,163.83,121.75,5.72,1058.7,780.11
24.046165,183.9,122.6,0,203.5,0,959.2,800
23.890343,167,187,195,185,7,898,636
23.848974,436,0,0,218,0,838.4,719.7
23.835875,299.8,0,119.8,211.5,9.9,878.2,727.6
23.835186,300,0,120,212,10,878,728
23.786922,155,183,0,193,9,877,868
23.786922,154.8,183.4,0,193.3,9.1,877.2,867.7
23.744175,145.7,172.6,0,181.9,3.4,985.8,816.8
23.738659,146,173,0,182,3,986,817
23.6966,148.5,139.4,108.6,192.7,6.1,892.4,780
23.690395,149,139,109,193,6,892,780
23.524231,149,117.6,91.7,182.9,7.1,953.4,780.3
23.518026,149,118,92,183,7,953,780
22.931973,184,86,190,213,6,923,623
22.835445,233.81,0,94.58,197.89,4.567,947.04,852.16
22.629982,203.5,135.7,0,185.7,0,1076.2,759.3
22.489328,381.4,0,0,185.7,0,1104.6,784.3
22.435549,281,0,0,185,0,1104,774
22.435549,281,0,0,186,0,1104,774
22.347986,116,173,0,192,0,909.8,891.9
21.966705,202,11,141,206,1.72,942,801
21.911547,135,105,193,196,6,965,643
21.752968,302,0,0,203,0,974,817
21.649546,296,0,0,192,0,1085,765
21.53923,166.09,0,163.27,176.46,4.49,1058.6,780.09
21.06625,158.8,238.2,0,185.7,0,1040.6,734.3
20.870438,250,0,0,182,0,1100,820
20.593958,108.3,162.4,0,203.5,0,938.2,849
19.98791,147,115,89,202,9,860,829
19.98791,146.5,114.6,89.3,201.9,8.8,860,829.5
19.76521,252.5,0,0,185.7,0,1111.6,784.3
19.691435,252,0,0,185,0,1111,784
19.009542,152.7,144.7,0,178.1,8,999.7,822.2
19.008854,153,145,0,178,8,1000,822
18.746162,255,0,0,192,0,889.8,945
18.415903,236,0,0,194,0,968,885
18.28766,154.8,183.4,0,193.3,9.1,1047.4,696.7
18.284903,155,183,0,193,9,1047,697
18.198719,135.7,203.5,0,185.7,0,1076.2,759.3
18.033934,164.6,0,150.4,181.6,11.7,1023.3,728.9
18.029797,165,0,150,182,12,1023,729
17.964296,153,102,0,192,0,888,943.1
17.95947,148.1,0,136.6,158.1,16.1,1001.8,830.1
17.953955,148,0,137,158,16,1002,830
17.596806,186.2,124.1,0,185.7,0,1083.4,764.3
17.576122,238.1,0,0,185.7,0,1118.8,789.3
17.54027,238,0,0,186,0,1119,789
17.54027,238,0,0,185,0,1118,789
17.34032,225,0,0,181,0,1113,833
17.27551,102,153,0,192,0,887,942
16.503986,153.6,144.2,112.3,220.1,10.1,923.2,657.9
16.49916,154,144,112,220,10,923,658
15.569747,150.9,0,183.9,166.6,11.6,991.2,772.2
15.568368,151,0,184,167,12,991,772
15.52631,148.1,0,182.1,181.4,15,838.9,884.3
15.520104,148,0,182,181,15,839,884
15.423578,143.6,0,174.9,158.4,17.9,942.7,844.5
15.416683,144,0,175,158,18,943,844
15.340841,144,15,195,176,6,1021,709
15.09125,164.2,0,200.1,181.2,12.6,849.3,846
15.085735,164,0,200,181,13,849,846
13.461329,150.7,0,185.3,166.7,15.6,1074.5,678
13.458571,151,0,185,167,16,1074,678
13.293787,134.7,0,165.7,180.2,10,961,804.9
13.2930975,135,0,166,180,10,961,805
13.202086,144.8,0,133.6,180.8,11.1,979.5,811.5
13.19657,145,0,134,181,11,979,812
12.45952,154.8,0,142.8,193.3,9.1,1047.4,696.7
12.458832,155,0,143,193,9,1047,697
12.245093,200,0,0,180,0,1125,845
12.180972,151.6,0,111.9,184.4,7.9,992,815.9
12.1761465,152,0,112,184,8,992,816
10.535883,145.4,0,178.9,201.7,7.8,824,868.7
10.535193,145,0,179,202,8,824,869
9.738159,154.8,0,142.8,193.3,9.1,877.2,867.7
9.735401,155,0,143,193,9,877,868
8.536403,158.4,0,194.9,219.7,11,897.7,712.9
8.535713,158,0,195,220,11,898,713
